字段1_文本,字段1_链接,字段2,字段3,"是否担忧（1=担忧，-1=完全不担忧，0=中性，有些担忧但不用买保险,2=疑似抑郁症）",标签1（担忧对象）,标签2（担忧什么）,标签3（什么保险）,标签4（症状）,是否有直接保险需求
买个保险真的好重要,https://tieba.baidu.com/p/6206151509,3,"
            12-15        ",,,,,,
我是一名保险知识讲师，为客户解答疑难杂症,https://tieba.baidu.com/p/6353260493,1,"
            11-28        ",,,,,,
公司给交了社保，我还需要在微民保险上买商业医疗险吗？,https://tieba.baidu.com/p/6204729968,9,"
            11-26        ",,,,,,
很多人说，买保险会上瘾？你也是这样吗？这是一种什么心里呢,https://tieba.baidu.com/p/6372707402,1,"
            12-16        ",,,,,,
想买个保险，有介绍的吗？,https://tieba.baidu.com/p/6182525777,67,"
            12-7        ",,,,,,
为什么你买多份保险，最终只赔一份的钱？？？,https://tieba.baidu.com/p/6349399807,3,"
            12-13        ",,,,,,
大家人寿“超惠保”终身重大疾病保险，性价比超高，保疾病170,https://tieba.baidu.com/p/6374082819,0,"
            12-4        ",,,,,,
谁给我推荐个合适的保险 本人男，32岁，87年的，这几,https://tieba.baidu.com/p/6103890030,61,"
            12-7        ",,,,,,
90后该如何买保险？90后的我们已经踏上了奔三的队伍，第一批,https://tieba.baidu.com/p/6352669303,0,"
            11-22        ",,,,,,
好险管家：体检后买保险、买保险后体检，差别竟然这么大！,https://tieba.baidu.com/p/5607299858,1,"
            12-7        ",,,,,,
保险不是没用，而是“暂时没用”。就像现在给您一双筷子有没有用,https://tieba.baidu.com/p/6350414582,0,"
            11-21        ",,,,,,
理赔分享-投保人豁免解读条款：投保人罹患合同中规定的重疾、轻,https://tieba.baidu.com/p/6378149176,0,"
            12-6        ",,,,,,
获客源，私聊,https://tieba.baidu.com/p/6377389281,0,"
            12-6        ",,,,,,
关爱爸妈，从一份【孝顺保】开始！把风险转嫁给保险公司，还他们,https://tieba.baidu.com/p/6334486698,0,"
            11-11        ",,,,,,
1000块钱 给新生儿做足保障！刚出生的宝宝，配备保障一、少,https://tieba.baidu.com/p/6376497112,1,"
            12-8        ",,,,,,
中国人民保险的开门红产品可以了解一下。3年/5年交费，第5-,https://tieba.baidu.com/p/6376190683,0,"
            12-5        ",,,,,,
如果有买错的保险被误导销售买的保险都可咨询我，通过正规渠道协,https://tieba.baidu.com/p/6375709423,3,"
            12-5        ",,,,,,
健康异常，还能买什么保险呢？不同险种的健康要求不同，从宽松到,https://tieba.baidu.com/p/6374682712,0,"
            12-4        ",,,,,,
90后还从没买过保险的人，是不是很落后，求推荐买哪些险合适！,https://tieba.baidu.com/p/5951294035,33,"
            12-5        ",,,,,,
我想买保险，问问大家华夏保险靠谱吗？,https://tieba.baidu.com/p/6351056568,9,"
            12-5        ",,,,,,
现在为什么那么多人退保？,https://tieba.baidu.com/p/6374044409,2,"
            12-4        ",,,,,,
渤海人寿前行无忧怎么样,https://tieba.baidu.com/p/6366873856,3,"
            12-3        ",,,,,,
想做兼职吗？信用卡兼职平台，申卡新世界 是最新出的一个推广办,https://tieba.baidu.com/p/6334479016,2,"
            12-3        ",,,,,,
有需要办理贷款，人生保险，车险，信用卡的朋友可以联系我，平安,https://tieba.baidu.com/p/6371605969,1,"
            1-1        ",,,,,,
线上买保险靠谱吗？有没有买过的？,https://tieba.baidu.com/p/6295872398,11,"
            11-9        ",,,,,,
为什么网销保险产品便宜？互联网保险更便宜的原因：运营成本低、,https://tieba.baidu.com/p/6348807016,4,"
            12-8        ",,,,,,
中华保险怎么样,https://tieba.baidu.com/p/6226689708,5,"
            12-14        ",,,,,,
买保险为什么选择富通保险？,https://tieba.baidu.com/p/6329234021,4,"
            12-8        ",,,,,,
保险师上选保险说的靠谱吗？,https://tieba.baidu.com/p/6325223406,2,"
            11-30        ",,,,,,
进来有买保险的和卖保险的，提供资源...,https://tieba.baidu.com/p/6308848120,8,"
            12-16        ",,,,,,
太平洋保险公司售后，负责理赔工作了可以问我,https://tieba.baidu.com/p/6188926745,32,"
            12-7        ",,,,,,
对保险，对这个行业有困惑，对买保险有疑问都可以咨询,https://tieba.baidu.com/p/6326807991,2,"
            12-15        ",,,,,,
水滴保险商城保驾护航,https://tieba.baidu.com/p/6326780027,2,"
            12-8        ",,,,,,
现在很多家保险公司对外宣传，可以隔代投保，可以为朋友投保，这,https://tieba.baidu.com/p/6355184008,0,"
            11-23        ",,,,,,
成人重疾险怎么买？目前市面上重疾险有两种，一种保障至60、7,https://tieba.baidu.com/p/6370888869,2,"
            12-16        ",,,,,,
VMS Group与中捷保险经纪签署收购协议,https://tieba.baidu.com/p/6370854268,2,"
            12-2        ",,,,,,
前海人寿保险股份有限公司怎么样？,https://tieba.baidu.com/p/6350897626,1,"
            11-21        ",,,,,,
一份保单，谁拥有掌控权？经常遇到夫妻一起投保的客户，两口子会,https://tieba.baidu.com/p/6369891136,2,"
            12-9        ",,,,,,
大都会保险怎么样？如何选择保险产品？,https://tieba.baidu.com/p/6348974960,5,"
            12-8        ",,,,,,
普及保险知识，清扫保险盲区，为您购险保驾护航！,https://tieba.baidu.com/p/6353257356,3,"
            11-27        ",,,,,,
大家都会买保险吗？,https://tieba.baidu.com/p/6195609640,11,"
            12-3        ",,,,,,
大家有谁买过华安保险，感觉好不好啊？,https://tieba.baidu.com/p/6349778625,4,"
            12-4        ",,,,,,
早产儿，能买商业保险吗？ 今天一姐姐过来咨询我保险，说,https://tieba.baidu.com/p/6347654618,0,"
            11-19        ",,,,,,
小孩买保险，是买长期终身保障还是一年一买的好？ 很多爸爸,https://tieba.baidu.com/p/6349657644,2,"
            12-4        ",,,,,,
保险经纪人一名客观，中立 挑选产品让你，省钱省时省力省心保费,https://tieba.baidu.com/p/6357022553,0,"
            11-24        ",,,,,,
为什么要买交通意外险？谁能说一下,https://tieba.baidu.com/p/6364176520,4,"
            11-30        ",,,,,,
欢迎小哥哥小姐姐加入我们！一起聚餐一起活动一起赚钱！,https://tieba.baidu.com/p/6366524781,1,"
            12-1        ",,,,,,
守卫者1号重大疾病保险新品测评：又一款逆天高性价比重疾险,https://tieba.baidu.com/p/5966643773,4,"
            11-30        ",,,,,,
人才中介有需要的可以留言24小时全体都在欢迎咨询,https://tieba.baidu.com/p/6367451497,0,"
            11-30        ",,,,,,
家庭经济支柱如何选择定期寿险2019.11一、定期寿险的作用,https://tieba.baidu.com/p/6366631867,0,"
            11-30        ",,,,,,
给孩子购买保险，需要我们清楚什么？注意什么？保险本身,https://tieba.baidu.com/p/6363792768,4,"
            12-9        ",,,,,,
带病投保全攻略，亚健康体怎么买保险？！,https://tieba.baidu.com/p/6238559653,9,"
            11-29        ",,,,,,
这几天一边是朋友圈发的各种轻松筹，一边我做的各种理赔的案件。,https://tieba.baidu.com/p/6365233517,1,"
            12-8        ",,,,,,
你买保险的想法十有八九是错的，这5条建议惊醒梦中人,https://tieba.baidu.com/p/6361753537,12,"
            12-14        ",,,,,,
做保险我是专业的：客观卖保险的六大原则：1.先主后辅：持家者,https://tieba.baidu.com/p/6364814532,0,"
            11-29        ",,,,,,
华安保险“智能语音回访”获评“2018年度保险公司服务评价”,https://tieba.baidu.com/p/6364019234,1,"
            12-15        ",,,,,,
智能大保上可以进行险种对比吗？,https://tieba.baidu.com/p/6361826910,2,"
            11-28        ",,,,,,
很多次，给客户送合同，都会问我，我是要把这一本现在看完吗？,https://tieba.baidu.com/p/6362953061,0,"
            11-28        ",,,,,,
最近几年，甲状腺异常的人越来越多，相比男性，女性甲状腺异常的,https://tieba.baidu.com/p/6362290923,0,"
            11-27        ",,,,,,
重庆地区，有需要了解或购买保险为自己提供份保障的可以私聊我v,https://tieba.baidu.com/p/6361517544,0,"
            11-27        ",,,,,,
年金险，要不要给孩子早早投保上？正常父母的想法：年金险不就是,https://tieba.baidu.com/p/6359456612,0,"
            11-26        ",,,,,,
汽车保险怎么买，还有保额多大比较合适呢？,https://tieba.baidu.com/p/5973714121,6,"
            11-26        ",,,,,,
[色]惠添富，“富”足一生[悠闲]最低三年交费—短期投入[悠,https://tieba.baidu.com/p/6358766079,0,"
            11-25        ",,,,,,
本人女，30岁了，没有买社保，想给自己买一份保障还有以后养老,https://tieba.baidu.com/p/6353240200,2,"
            11-25        ",,,,,,
钱不富裕，孩子的保险还要不要买？ 没有保险规划的父母：,https://tieba.baidu.com/p/6358447084,0,"
            11-25        ",,,,,,
给自己一份保障吧,https://tieba.baidu.com/p/6356045894,0,"
            11-24        ",,,,,,
13699454156 （经纪人/销售需要的加，全国各地客户,https://tieba.baidu.com/p/6354793439,0,"
            11-23        ",,,,,,
三步配备孩子的保障：1、少儿医保少儿医保是国家复利，对于孩子,https://tieba.baidu.com/p/6350707937,0,"
            11-21        ",,,,,,
交通意外险有必要买吗？发生意外能报多少？,https://tieba.baidu.com/p/6343261375,7,"
            12-16        ",,,,,,
想问保险公司哪家好？中 国 内哪家好点啊？,https://tieba.baidu.com/p/6261787133,9,"
            11-9        ",,,,,,
出国旅游哪些坑不要踩？华安保险境外旅游险有保障,https://tieba.baidu.com/p/6232785240,5,"
            11-13        ",,,,,,
想买一份一份保险~~~,https://tieba.baidu.com/p/6127103341,25,"
            11-9        ",,,,,,
如果父母身体好，没有医疗记录，可考虑消费型重疾险、百万医疗险,https://tieba.baidu.com/p/6347893064,0,"
            11-19        ",,,,,,
我一名保险销售员，吧里如果有想要买保险的，或者是想要咨询了解,https://tieba.baidu.com/p/6328564174,4,"
            12-8        ",,,,,,
欢迎咨询,https://tieba.baidu.com/p/6347281779,0,"
            11-19        ",,,,,,
请问老婆没跟我商量就加入相互宝了，相互宝好不好呀？,https://tieba.baidu.com/p/6327332653,7,"
            12-8        ",,,,,,
本人三口之家想买个年交一万的重疾险够用吗,https://tieba.baidu.com/p/6148147068,25,"
            12-16        ",,,,,,
为什么要买交通意外险，有购买过的吗？,https://tieba.baidu.com/p/6336207003,3,"
            11-18        ",,,,,,
有人介绍一下重疾险，加意外伤残的,https://tieba.baidu.com/p/6162669158,15,"
            11-17        ",,,,,,
购买旅游意外险有用吗？如果挑选？,https://tieba.baidu.com/p/6336198576,7,"
            12-8        ",,,,,,
交通意外险的好处有哪些，有了解的吗,https://tieba.baidu.com/p/6333938624,2,"
            11-17        ",,,,,,
人保雇主，支持24小时拓展，最高可保100万，支持月保，佣金,https://tieba.baidu.com/p/6341426106,1,"
            12-9        ",,,,,,
微保客服的服务质量怎么样？,https://tieba.baidu.com/p/6338020662,1,"
            11-13        ",,,,,,
交通意外险有必要买吗，好处有哪些？,https://tieba.baidu.com/p/6336208732,2,"
            11-13        ",,,,,,
父母的保障，中老年人的健康保障～老年防癌险，亚健康体也可投保,https://tieba.baidu.com/p/6332377062,0,"
            11-9        ",,,,,,
24岁女生，在互联网公司上班，,https://tieba.baidu.com/p/5266254450,116,"
            12-9        ",,,,,,
我想买一份交通意外险，保费多少钱？,https://tieba.baidu.com/p/6229595870,11,"
            12-8        ",,,,,,
华夏常青树和太平洋的金福人生哪个好点，没有有懂的？,https://tieba.baidu.com/p/6312937919,7,"
            11-4        ",,,,,,
孩子保险不要这样买,https://tieba.baidu.com/p/6324701585,1,"
            11-5        ",,,,,,
"请教一下大家,华夏人寿保险怎么样？可靠吗？",https://tieba.baidu.com/p/6319631795,4,"
            11-2        ",,,,,,
交通意外险有必要买吗？,https://tieba.baidu.com/p/6317808701,6,"
            12-8        ",,,,,,
交了五年的保险，现在退居然还可以全额退保了,https://tieba.baidu.com/p/6318365981,1,"
            10-31        ",,,,,,
富通保险告诉你：记住这五点，保险肯定不会买错,https://tieba.baidu.com/p/6317346745,2,"
            10-30        ",,,,,,
0点抢【京享红包】最高1111元，每天抽3次，分享后可抽,https://tieba.baidu.com/p/6316494305,1,"
            12-16        ",,,,,,
保险是骗人的吗？,https://tieba.baidu.com/p/6307896404,9,"
            12-16        ",,,,,,
🇨🇳 长城   吉康 🇨🇳 165种疾病🇨🇳 轻症（40种）,https://tieba.baidu.com/p/6315712215,1,"
            12-8        ",,,,,,
富通保险的便宜实惠理财产品再次来袭,https://tieba.baidu.com/p/6315482027,3,"
            12-8        ",,,,,,
阳光保险集团2005年成立，中国保险集团之一，他是世界500,https://tieba.baidu.com/p/6314321925,0,"
            10-28        ",,,,,,
给父母买保险，选华夏保险哪款产品比较好呢？,https://tieba.baidu.com/p/6240106264,13,"
            12-8        ",,,,,,
有没有保险群,https://tieba.baidu.com/p/5982294562,13,"
            10-28        ",,,,,,
小雨伞超级玛丽2020保障责任怎么样？贵不贵？,https://tieba.baidu.com/p/6312178456,3,"
            12-14        ",,,,,,
旅游保险可以当天买吗，贵不贵,https://tieba.baidu.com/p/6311848098,2,"
            10-26        ",,,,,,
有了解过香港保险的吗？请问香港富通保险公司，咋样的？,https://tieba.baidu.com/p/6231680001,3,"
            10-24        ",,,,,,
想给孩子买一份保险，少儿重疾保险如何挑选？,https://tieba.baidu.com/p/6248876362,13,"
            10-13        ",,,,,,
保险公司打人了，大家快来围观啊，置顶让所有人看到了,https://tieba.baidu.com/p/6306349510,0,"
            10-22        ",,,,,,
臻欣+融合家庭＝给家庭全方位的保障,https://tieba.baidu.com/p/6304974110,3,"
            10-21        ",,,,,,
一文读懂重疾险,https://tieba.baidu.com/p/6176034160,1,"
            10-20        ",,,,,,
阳光保险不只有人寿保险，还有理财险，少儿险，养老险，还有适合,https://tieba.baidu.com/p/6304228827,2,"
            12-8        ",,,,,,
有【臻欣+融和】就是有底气！，阳光一客户患癌后说的话，惊讶了,https://tieba.baidu.com/p/6304218478,2,"
            12-15        ",,,,,,
哪家公司河南地区的税优医疗保险还在售，并且有渠道能买到，尤其,https://tieba.baidu.com/p/6118703779,1,"
            10-18        ",,,,,,
智能大保对想买保险的人有什么用?,https://tieba.baidu.com/p/6297495863,2,"
            12-15        ",,,,,,
有人知道天天车保吗？深圳的一个公司出的车险分期产品。,https://tieba.baidu.com/p/6297789987,3,"
            10-15        ",,,,,,
去美国旅游保险怎么买？出行买旅游保险哪种好？,https://tieba.baidu.com/p/6292426968,4,"
            12-8        ",,,,,,
想买意外伤害保险哪家好,https://tieba.baidu.com/p/6253485050,9,"
            10-13        ",,,,,,
组团出行买旅游保险哪种好？,https://tieba.baidu.com/p/6261610063,5,"
            10-13        ",,,,,,
款待家人，从一份富通保险新版「 传家宝」开始,https://tieba.baidu.com/p/6293013955,2,"
            12-15        ",,,,,,
广东地区收车险，高点反，送礼品，有意私聊我,https://tieba.baidu.com/p/6276773963,2,"
            12-8        ",,,,,,
平安孝心卡,https://tieba.baidu.com/p/6278093628,2,"
            12-14        ",,,,,,
交通意外险保费多少钱？,https://tieba.baidu.com/p/6235375909,11,"
            12-9        ",,,,,,
有没有做保险卡单的了解一下。,https://tieba.baidu.com/p/6280311804,2,"
            9-30        ",,,,,,
平安银行车主贷🚖 1⃣ 银行业[太阳]独一无二2⃣ 不押车[,https://tieba.baidu.com/p/6278087927,0,"
            9-28        ",,,,,,
水滴保险商城让生活更有底气,https://tieba.baidu.com/p/6275867788,1,"
            9-27        ",,,,,,
智能大保小程序怎么样？,https://tieba.baidu.com/p/6270038418,1,"
            9-25        ",,,,,,
平安RUN用实际行动关心你的健康，平安福值得托付,https://tieba.baidu.com/p/5844683443,2,"
            12-8        ",,,,,,
早上好，各位！跟您分享一则资讯，9月27日中国人寿七十周年特,https://tieba.baidu.com/p/6265117481,1,"
            12-8        ",,,,,,
经验分享—30岁买什么保险好,https://tieba.baidu.com/p/6257654095,1,"
            9-21        ",,,,,,
旅游保险有必要买吗？,https://tieba.baidu.com/p/6235377560,5,"
            12-8        ",,,,,,
平时出行意外险该选哪个？意外险电子保单可以退吗？,https://tieba.baidu.com/p/6252900451,3,"
            9-17        ",,,,,,
富通保险向大众发出邀请，一同走向幸福未来,https://tieba.baidu.com/p/6257671176,3,"
            12-16        ",,,,,,
境外旅游意外险在哪买的？,https://tieba.baidu.com/p/6229597458,3,"
            9-1        ",,,,,,
大家好，如果你们想给你们的宝贝或者家人，购买一份保障。宝贝健,https://tieba.baidu.com/p/6253350326,0,"
            9-12        ",,,,,,
投保时【健康告知】埋下的隐患&带来的麻烦！,https://tieba.baidu.com/p/6251456778,0,"
            9-10        ",,,,,,
有谁买过微保的药神保？健康告知宽松吗？等待期多久？,https://tieba.baidu.com/p/6240055884,2,"
            12-8        ",,,,,,
想给小孩子买保险，出生证明可以办理保险吗，,https://tieba.baidu.com/p/5555020874,77,"
            12-8        ",,,,,,
3分钟搞清楚“父母的保险到底咋买？”,https://tieba.baidu.com/p/6248317715,1,"
            9-7        ",,,,,,
在9月到19期间，累计保障性保单2件，奖励旅游名额一个。累计,https://tieba.baidu.com/p/6247939389,4,"
            12-8        ",,,,,,
富通保险深度契合“创新发展”理念,https://tieba.baidu.com/p/6247451933,2,"
            9-5        ",,,,,,
广西玉林陆川中国人寿保险公司，有需要的欢迎来咨询。,https://tieba.baidu.com/p/6070302373,1,"
            9-2        ",,,,,,
中国人寿寿险,https://tieba.baidu.com/p/6233499376,1,"
            8-30        ",,,,,,
富通保险一路成长一路陪伴,https://tieba.baidu.com/p/6241667161,4,"
            8-30        ",,,,,,
水滴保险商城你的优选平台,https://tieba.baidu.com/p/6240767435,2,"
            8-29        ",,,,,,
帮忙说一下太平的福禄瑞康和人保的无忧人生哪个好,https://tieba.baidu.com/p/5833400626,54,"
            12-8        ",,,,,,
微元素HI保是卖保险的平.台吗？,https://tieba.baidu.com/p/6237096796,1,"
            8-26        ",,,,,,
发什么删什么，那我啥都不发就是了,https://tieba.baidu.com/p/6234763709,0,"
            8-23        ",,,,,,
留下你们的号码 我们来建一个人人都买得起的保险群 解惑答疑,https://tieba.baidu.com/p/6198733884,0,"
            7-19        ",,,,,,
什么是直付先赔？,https://tieba.baidu.com/p/6230247779,3,"
            12-8        ",,,,,,
我想给我爸妈买份保险，有没有推荐下的？如题,https://tieba.baidu.com/p/5967457107,23,"
            12-17        ",,,,,,
想买重疾,https://tieba.baidu.com/p/5876396835,22,"
            7-8        ",,,,,,
有国寿的没？咨询个问题,https://tieba.baidu.com/p/6040675167,5,"
            12-16        ",,,,,,
本人女24岁，想给自己买一份保险，应该买什么类型的。求解,https://tieba.baidu.com/p/6063709398,37,"
            8-22        ",,,,,,
想给自己买份保险，朋友是轻松e保的,https://tieba.baidu.com/p/5932985817,36,"
            6-19        ",,,,,,
宝宝七个月，适合买什么保险,https://tieba.baidu.com/p/5888578541,85,"
            12-16        ",,,,,,
微元素和一般的保险介绍有什么不同吗？,https://tieba.baidu.com/p/6229400286,1,"
            8-18        ",,,,,,
富通保险倡导理赔与服务新模式,https://tieba.baidu.com/p/6227906398,2,"
            8-16        ",,,,,,
有比较懂保　险的吗？请问一下，中华保险公　司咋　样？,https://tieba.baidu.com/p/6218497220,8,"
            8-13        ",,,,,,
富通保险服务值得信赖,https://tieba.baidu.com/p/6219744439,2,"
            8-8        ",,,,,,
想去国外玩，比如斯里兰卡，境外旅游意外险怎么买？,https://tieba.baidu.com/p/6206808092,7,"
            8-6        ",,,,,,
产品简介乐享人生，为您的人生旅途保驾护航 全方位关爱大众健康,https://tieba.baidu.com/p/6217131263,0,"
            8-6        ",,,,,,
产品简介乐享人生，为您的人生旅途保驾护航 全方位关爱大众健康,https://tieba.baidu.com/p/6217130862,0,"
            8-6        ",,,,,,
平安想买保险的看过来优惠力度大个人冲业绩有需要的过来看看,https://tieba.baidu.com/p/6213700339,0,"
            8-2        ",,,,,,
产品简介惠农护农，健康先行 全方位关爱大众健康的“惠农卡”重,https://tieba.baidu.com/p/6213474992,0,"
            8-2        ",,,,,,
最近想要在国内旅游，旅游保险买哪个好？,https://tieba.baidu.com/p/6211301365,4,"
            12-8        ",,,,,,
富通保险，他要为它打造新时代,https://tieba.baidu.com/p/6190022801,1,"
            7-27        ",,,,,,
水滴保险商城优选平台,https://tieba.baidu.com/p/6206477942,1,"
            12-8        ",,,,,,
买保险：4种渠道，4项对比。怎么选？这篇文都讲清楚了！,https://tieba.baidu.com/p/6171065233,0,"
            6-22        ",,,,,,
富通保险为客户提供的专享奖励计划,https://tieba.baidu.com/p/6197174998,2,"
            7-17        ",,,,,,
分享贴子,https://tieba.baidu.com/p/6195993344,0,"
            7-16        ",,,,,,
本人泰康电销小职员，有一个特别不错的消费险，很便宜，也很实用,https://tieba.baidu.com/p/6195248903,0,"
            7-15        ",,,,,,
华夏人寿都有哪些保险产品，哪种比较受欢迎？,https://tieba.baidu.com/p/6176617141,3,"
            7-11        ",,,,,,
你有给自己或者家人买过保险吗,https://tieba.baidu.com/p/6182730260,3,"
            7-4        ",,,,,,
富通保险，他要为它打造新时代,https://tieba.baidu.com/p/6190024856,2,"
            7-10        ",,,,,,
富通保险，他要为它打造新时代,https://tieba.baidu.com/p/6190026501,3,"
            7-10        ",,,,,,
初次接触苏宁延保的感受,https://tieba.baidu.com/p/6189648593,1,"
            12-16        ",,,,,,
苏宁延保作用很大,https://tieba.baidu.com/p/6189615926,0,"
            7-10        ",,,,,,
苏宁保险给自己一份值得信赖的保险,https://tieba.baidu.com/p/6189298863,1,"
            7-9        ",,,,,,
想买保险，南宁的保险业务员加我,https://tieba.baidu.com/p/6147474078,6,"
            12-15        ",,,,,,
MGA保险大家给推荐个靠谱的公司？,https://tieba.baidu.com/p/6127341957,5,"
            7-9        ",,,,,,
大家都买过保险了吗,https://tieba.baidu.com/p/6187640223,3,"
            7-8        ",,,,,,
香港人寿保险公司哪个好？,https://tieba.baidu.com/p/6162155705,3,"
            7-4        ",,,,,,
农银人寿万物生重疾险上市，,https://tieba.baidu.com/p/5255478092,6,"
            6-27        ",,,,,,
网购盛行，在网上买的保险靠不靠谱？,https://tieba.baidu.com/p/5816844467,6,"
            8-26        ",,,,,,
用水滴保险商城买重疾险真的很不错,https://tieba.baidu.com/p/6176236635,2,"
            6-27        ",,,,,,
还在发愁怎么给孩子选保险？那你赶紧上水滴保险商城咨询吧！,https://tieba.baidu.com/p/6175623425,2,"
            6-26        ",,,,,,
我有一款交费10年，70岁退还给你所交的钱，再跟你百分之十的,https://tieba.baidu.com/p/6141750351,19,"
            12-8        ",,,,,,
你的保险也白买了吧？！,https://tieba.baidu.com/p/6170037960,0,"
            6-21        ",,,,,,
买保险，一年给4千多给20年后能取出24万，信得过吗,https://tieba.baidu.com/p/5604157343,124,"
            12-8        ",,,,,,
小孩教育金保险有什么功能？,https://tieba.baidu.com/p/5703423244,23,"
            6-14        ",,,,,,
合作伙伴同方全球的一个理赔案例，从中可见通过夫妻互保实现保费,https://tieba.baidu.com/p/6048430257,5,"
            12-8        ",,,,,,
做过胃镜的人别买尊享e生,https://tieba.baidu.com/p/6142229980,5,"
            6-8        ",,,,,,
各位同行有想做兼职的吗,https://tieba.baidu.com/p/5781884413,6,"
            12-8        ",,,,,,
咨询香港保险的➕,https://tieba.baidu.com/p/6150719480,1,"
            12-8        ",,,,,,
保险小白交流Q群，教你怎么避坑避套路,https://tieba.baidu.com/p/6149002340,0,"
            6-1        ",,,,,,
如何购买保险的知识#如何购买保险知识#,https://tieba.baidu.com/p/6147412843,2,"
            5-30        ",,,,,,
哪家保险销售培训课程好？,https://tieba.baidu.com/p/6098525613,5,"
            5-30        ",,,,,,
大家早上好呀,https://tieba.baidu.com/p/6146159396,3,"
            5-30        ",,,,,,
为什么要买交通意外险？,https://tieba.baidu.com/p/6113524823,5,"
            5-22        ",,,,,,
大家好，我是理财保险规划师，欢迎大家前来咨询。,https://tieba.baidu.com/p/6138716015,0,"
            5-21        ",,,,,,
保险之家靠谱吗？可以相信吗,https://tieba.baidu.com/p/6127241519,3,"
            5-21        ",,,,,,
华康保代广西分公司4月准总监培训会议 春风拂面聚邕城,https://tieba.baidu.com/p/6136911594,0,"
            5-20        ",,,,,,
国内大大小小的保险公司很多，几十年后会倒闭吗？,https://tieba.baidu.com/p/6133123218,0,"
            5-16        ",,,,,,
买重疾险需要注意什么？,https://tieba.baidu.com/p/6129951123,0,"
            5-13        ",,,,,,
劳动节还在劳动的安慰,https://tieba.baidu.com/p/6118372760,0,"
            5-1        ",,,,,,
明亚保险经纪5月份事业说明会和新人班安排,https://tieba.baidu.com/p/6117240645,1,"
            12-16        ",,,,,,
旅游保险可以当天买吗？如果要购买旅游保险什么时候买比较好？,https://tieba.baidu.com/p/6110405058,3,"
            12-15        ",,,,,,
小长假要来了，周边游要买旅游保险吗,https://tieba.baidu.com/p/6113524029,4,"
            12-16        ",,,,,,
有没有假日出行意外险 ？,https://tieba.baidu.com/p/6113511615,2,"
            4-27        ",,,,,,
微医保适合年轻人购买吗？,https://tieba.baidu.com/p/6112031990,1,"
            4-25        ",,,,,,
周边游要买旅游保险吗？,https://tieba.baidu.com/p/6113519158,1,"
            4-26        ",,,,,,
境外旅游意外险种多不多？,https://tieba.baidu.com/p/6113513652,0,"
            4-26        ",,,,,,
重庆买保险的朋友可以咨询我,https://tieba.baidu.com/p/6099033854,1,"
            4-24        ",,,,,,
中宏保险这是一家中外合资企业，两国征服背景实力，实力雄厚，4,https://tieba.baidu.com/p/6105860891,2,"
            12-17        ",,,,,,
境外旅游意外险种多不多？哪一个保险最好？,https://tieba.baidu.com/p/6110402726,0,"
            4-23        ",,,,,,
我想买60岁以上老人保险，去哪里买好。,https://tieba.baidu.com/p/5950591114,35,"
            4-22        ",,,,,,
想给父母买份保险,https://tieba.baidu.com/p/6000381493,25,"
            4-8        ",,,,,,
好多人都在推复星联合备哆分1号重疾险？如何评价？值得入手吗？,https://tieba.baidu.com/p/6102236935,2,"
            4-16        ",,,,,,
几句话，让你轻松记住什么是原位癌,https://tieba.baidu.com/p/5147371746,2,"
            4-15        ",,,,,,
如意人生是不是终生保障产品？,https://tieba.baidu.com/p/6088070588,6,"
            4-3        ",,,,,,
信泰保险的如意传承属于什么类型的产品，卖的怎么样？,https://tieba.baidu.com/p/6079094276,2,"
            12-8        ",,,,,,
"""保大教育怎么样？保险行业有前景吗？  """,https://tieba.baidu.com/p/6083567644,2,"
            4-3        ",,,,,,
中国人寿培训怎么样？,https://tieba.baidu.com/p/6083542555,3,"
            4-3        ",,,,,,
开源节流，养成存钱的习惯，一天10块钱，给将来一个惊喜[强],https://tieba.baidu.com/p/6070058401,1,"
            12-16        ",,,,,,
保险营销培训课程哪里的好呢？知道吗？,https://tieba.baidu.com/p/6083534968,1,"
            3-29        ",,,,,,
我想给父母买份保险，不知道买那种求指点可以加我微信聊下！ch,https://tieba.baidu.com/p/6068252063,3,"
            3-31        ",,,,,,
保险公司新人培训有哪些内容?,https://tieba.baidu.com/p/6083573127,3,"
            12-16        ",,,,,,
保险培训有没有比较好的机构,https://tieba.baidu.com/p/6083552344,1,"
            3-29        ",,,,,,
线上保险性价比真的高吗？,https://tieba.baidu.com/p/6082827569,0,"
            3-28        ",,,,,,
创必承卖保险吗，可靠不可靠？,https://tieba.baidu.com/p/6067846369,3,"
            3-28        ",,,,,,
重疾险复效的时候两年不可抗辩中的两年要重新计算吗？,https://tieba.baidu.com/p/6079163934,0,"
            3-25        ",,,,,,
求介绍少儿保障型保险哪家好,https://tieba.baidu.com/p/5933638656,40,"
            12-8        ",,,,,,
坐飞机去旅行适合买华泰旅行意外险吗,https://tieba.baidu.com/p/4863649472,2,"
            3-22        ",,,,,,
