字段1_文本,字段1_链接,字段2,字段3,"是否担忧（1=担忧，-1=完全不担忧，0=中性，有些担忧但不用买保险,2=疑似抑郁症）",标签1（担忧对象）,标签2（担忧什么）,标签3（什么保险）,标签4（症状）,是否有直接保险需求（是=1，否=0）
好医保月缴还是年缴的好？两者🈶️什么不同吗？谢谢！,https://tieba.baidu.com/p/6273085581,19,"
            12-27        ",,,,,,
中国人寿的康悦怎么样啊？,https://tieba.baidu.com/p/6058653023,23,"
            12-26        ",,,,,,
有没有交太平洋金诺人生2018这个保险的  怎么样阿,https://tieba.baidu.com/p/6410709466,10,"
            12-27        ",,,,,,
求助，有个业务员给我个聊了一个多小时农银人寿的万物生了，说的,https://tieba.baidu.com/p/5735941380,41,"
            12-26        ",,,,,,
这款费用都差不多，终身寿险，保终身，缴费20年。但是相比其余,https://tieba.baidu.com/p/6412740216,0,"
            12-26        ",,,,,,
网络玩票输二十个，网贷预期十几个不知道怎么办了,https://tieba.baidu.com/p/6330883707,30,"
            12-26        ",,,,,,
如何给老人买保险？保险防坑指南,https://tieba.baidu.com/p/6413163353,0,"
            12-26        ",,,,,,
脑中风老爷子在医养社区调理好了，你们都活跃起来啊，也不说话,https://tieba.baidu.com/p/6413116922,0,"
            12-26        ",,,,,,
有人买过泰康健康人生E款两全保险吗？,https://tieba.baidu.com/p/6405779096,15,"
            12-25        ",,,,,,
本人保险公司的销售员 有需要长期合作的可以加V有钱一起赚,https://tieba.baidu.com/p/6413064635,0,"
            12-26        ",,,,,,
保险公司有个教育险吧，十五年交够125000，再过十年一共领,https://tieba.baidu.com/p/6383802795,63,"
            12-26        ",,,,,,
28岁 女 请问华夏和平安大福星哪个更好呢？,https://tieba.baidu.com/p/6395746522,49,"
            12-29        ",,,,,,
泰康武汉·楚园开业啦，高端的医养社区适配未来老龄化的社会,https://tieba.baidu.com/p/6412989023,0,"
            12-26        ",,,,,,
添加微信可免费领取一年意外险两份,https://tieba.baidu.com/p/6398886499,3,"
            12-26        ",,,,,,
本人今年30岁，签不多，对保险也不是很了解年纪越大感觉没买保,https://tieba.baidu.com/p/6394198279,63,"
            12-26        ",,,,,,
需要买一款保险，请大神给讲解一下,https://tieba.baidu.com/p/6412465786,7,"
            12-27        ",,,,,,
想帮宝宝买个保险，现在两个月大，想着买那种综合的，有教育金，,https://tieba.baidu.com/p/6386400743,30,"
            12-26        ",,,,,,
给宝宝买什么样的保险合适，感冒发烧都能报销的那种,https://tieba.baidu.com/p/6389816303,32,"
            12-26        ",,,,,,
奔驰：遇事我不怕，平安：遇事我能拖，群众：瞎搞,https://tieba.baidu.com/p/6412774840,0,"
            12-26        ",,,,,,
❤️ 全国保单退保.实力代办当你被迫、因为人情购买保险，当你,https://tieba.baidu.com/p/6412907183,0,"
            12-26        ",,,,,,
90后也开始上有老下有小了：1990年，一对夫妻只能生1个孩,https://tieba.baidu.com/p/6412897706,0,"
            12-26        ",,,,,,
收购保险代理公司多少钱,https://tieba.baidu.com/p/6412821136,0,"
            12-26        ",,,,,,
深圳车险找我 优惠高当天返,https://tieba.baidu.com/p/6412855612,1,"
            12-26        ",,,,,,
新人报道。想知道民生人寿保险靠谱吗,https://tieba.baidu.com/p/5038086120,63,"
            12-26        ",,,,,,
#妍选嘉险# “现价之王”中华保险-中华尊，增额终身寿！中华,https://tieba.baidu.com/p/6412746562,0,"
            12-26        ",,,,,,
保险不好做，就来个健康管理师，工作稳定无压力,https://tieba.baidu.com/p/6412726911,0,"
            12-26        ",,,,,,
2000块只买工伤意外险一年保额是多少,https://tieba.baidu.com/p/6406711472,13,"
            12-25        ",,,,,,
关注我的公众号文章哦https://mp.weixin.qq,https://tieba.baidu.com/p/6412730697,0,"
            12-26        ",,,,,,
五月新品-天安人寿爱守护（至尊宝）终身重疾，辉煌归来！,https://tieba.baidu.com/p/6115171060,25,"
            12-24        ",,,,,,
友邦保险，详细的规划，合理的保险搭配有需要了解的私聊！,https://tieba.baidu.com/p/6412706537,0,"
            12-26        ",,,,,,
平安保险 欢迎咨询 13237529832,https://tieba.baidu.com/p/6412630346,0,"
            12-26        ",,,,,,
刚刚给自己买了20万保额，专门保肺癌的一年期给付型产品,https://tieba.baidu.com/p/6221419987,21,"
            12-26        ",,,,,,
❤️ 全国保单退保.实力代办当你被迫、因为人情购买保险，当你,https://tieba.baidu.com/p/6412609142,0,"
            12-26        ",,,,,,
分享：第一次报保险！本来以为能报个120-130呢！哈哈，对药品也,https://tieba.baidu.com/p/6390770678,2,"
            12-26        ",,,,,,
保险同业 财险非标业务交流群,https://tieba.baidu.com/p/5851857674,23,"
            12-26        ",,,,,,
华贵大麦2020定期寿险常见问题汇总,https://tieba.baidu.com/p/6412556028,0,"
            12-26        ",,,,,,
影视投资简单的说--这是一个骗子哦！,https://tieba.baidu.com/p/6188809980,4,"
            12-26        ",,,,,,
科技改变生活，创新成就未来，华夏人寿双创兴司,https://tieba.baidu.com/p/6412554400,1,"
            12-26        ",,,,,,
��👊👊👊赔得到的重疾险         乐享安康（尊享版）升,https://tieba.baidu.com/p/6412522387,1,"
            1-3        ",,,,,,
近日小编关注了多个关于保险的公众号，大部分都表示他们只是客观,https://tieba.baidu.com/p/6189922678,154,"
            7-11        ",,,,,,
慧择四大理赔服务践行“三不三帮”服务承诺,https://tieba.baidu.com/p/6174368612,1,"
            12-26        ",,,,,,
都是4.025的年金，设置也不一样。图一这种回本快，灵活性高,https://tieba.baidu.com/p/6412452012,0,"
            12-26        ",,,,,,
大家都关注了哪些保险相关的公众号？有没有特别喜欢的推荐一下！,https://tieba.baidu.com/p/6195298415,3,"
            12-26        ",,,,,,
微信小程序商城小程序商城开发设计模版商城小程序微信+rykj158,https://tieba.baidu.com/p/6412428759,0,"
            12-26        ",,,,,,
支付宝联合众安保险好医保骗人。买的时候怎么都好。出险的时候各,https://tieba.baidu.com/p/6103856869,132,"
            12-26        ",,,,,,
医美面膜，自用顺带拼箱，有要一起拼的吗？,https://tieba.baidu.com/p/6299802208,1,"
            12-26        ",,,,,,
【2020宝贝卡    成长版】《宝》住院医疗:100万《贝,https://tieba.baidu.com/p/6412347330,0,"
            12-26        ",,,,,,
问个问题，希望知道的人回复我一下，万分感激！一个朋友想买重疾,https://tieba.baidu.com/p/6204377969,32,"
            8-2        ",,,,,,
理财险？,https://tieba.baidu.com/p/6412228584,0,"
            12-26        ",,,,,,
水滴保险商城放心的选择！,https://tieba.baidu.com/p/6412273268,0,"
            12-26        ",,,,,,
快年底了，有需要免费礼品来答谢客户，作拜访礼的保险从业人员吗,https://tieba.baidu.com/p/6402062061,6,"
            12-26        ",,,,,,
保险是生活的保护伞 前海人寿理赔案例分享,https://tieba.baidu.com/p/6412232015,0,"
            12-26        ",,,,,,
分享：山西保险业反欺诈中心成立,https://tieba.baidu.com/p/6412222290,0,"
            12-26        ",,,,,,
加我进高质量客户资源分配群,https://tieba.baidu.com/p/6408658298,6,"
            12-26        ",,,,,,
意外来临酿悲剧，前海人寿百万赔款助力财富传承,https://tieba.baidu.com/p/6412189463,0,"
            12-26        ",,,,,,
普通家庭保障性保费支出没必要超过6%收入，且不超过2万元~,https://tieba.baidu.com/p/6412128412,1,"
            12-26        ",,,,,,
私人订制，激光雕刻！承接各类展会、门店店庆、活动推广、周年日,https://tieba.baidu.com/p/6361770367,21,"
            12-26        ",,,,,,
人民网第二届“人民好保险”颁奖典礼在京举行，华安保险获三项殊,https://tieba.baidu.com/p/6412084905,0,"
            12-26        ",,,,,,
问个事，人行道被车撞了，对方车辆全责，对方有保险，该让他怎么,https://tieba.baidu.com/p/6412059284,0,"
            12-26        ",,,,,,
听说保险的入门门槛要改革了！,https://tieba.baidu.com/p/6408477982,6,"
            12-26        ",,,,,,
有邯郸人在做保险吗？互相认识,https://tieba.baidu.com/p/6412043363,0,"
            12-26        ",,,,,,
已经交了三年的保险，期间生病住院啥的也没用得上，所以想问问大,https://tieba.baidu.com/p/6407873327,41,"
            12-26        ",,,,,,
平安大小福星可以买么？？,https://tieba.baidu.com/p/6410367558,4,"
            12-25        ",,,,,,
给孩子买的求高手帮忙看看怎么样,https://tieba.baidu.com/p/6288270276,35,"
            12-26        ",,,,,,
但是这款作为年底冲刺的产品，也仅仅是年底冲刺，因为在年金险预,https://tieba.baidu.com/p/6400891024,1,"
            12-26        ",,,,,,
我儿子15年的时候做的扁桃体和腺样体切除手术，17年买的保险,https://tieba.baidu.com/p/5807537224,31,"
            12-26        ",,,,,,
小孩3周岁，买尊爱e生2019+健康福少儿重疾50万70年+,https://tieba.baidu.com/p/6410703824,17,"
            12-26        ",,,,,,
正确的去判断一些事，判断一些人。不要糊里糊涂的亏了，还不知道,https://tieba.baidu.com/p/6411971561,0,"
            12-26        ",,,,,,
与社保相比，少儿健康医疗险特点是什么？好不好？,https://tieba.baidu.com/p/6410868691,6,"
            12-26        ",,,,,,
都市白领为何购意外险？低投入高报偿,https://tieba.baidu.com/p/6411962925,0,"
            12-26        ",,,,,,
保险好像有个受伤导致智力低下要开什么证明吗，明天打算报一下,https://tieba.baidu.com/p/6411789183,1,"
            12-26        ",,,,,,
#妍选嘉险#💁 早间新闻婚姻法新内容即将实施的《民法典》给离,https://tieba.baidu.com/p/6411961479,0,"
            12-26        ",,,,,,
求资深大神回复,https://tieba.baidu.com/p/6411835510,7,"
            12-26        ",,,,,,
来来来.下面来算一算300万惠添富小公寓产权一辈子[强][强,https://tieba.baidu.com/p/6411957350,0,"
            12-26        ",,,,,,
求个人险大神参考下身边有3个拆广告牌的工人，该怎么投保个人意,https://tieba.baidu.com/p/6411121644,7,"
            12-26        ",,,,,,
给设计的这个能买么？？,https://tieba.baidu.com/p/6410395708,5,"
            12-25        ",,,,,,
有保险需求的可以联系我,https://tieba.baidu.com/p/6410301706,0,"
            12-25        ",,,,,,
家中经济支柱该投什么保险，人寿保险公司哪家好？,https://tieba.baidu.com/p/6388699837,33,"
            12-27        ",,,,,,
互联网保险会取代传统保险销售么？现在入行卖保险还能年入百万吗,https://tieba.baidu.com/p/6398516211,4,"
            12-26        ",,,,,,
各位都是什么情况？选择的什么保险？,https://tieba.baidu.com/p/6361588734,78,"
            12-26        ",,,,,,
闲聊保险价格,https://tieba.baidu.com/p/6403443910,5,"
            12-26        ",,,,,,
为何保险合同纠纷不断？,https://tieba.baidu.com/p/6410521617,1,"
            12-26        ",,,,,,
对中国商业保险的看法之一,https://tieba.baidu.com/p/6392579715,2,"
            12-26        ",,,,,,
终于清了，还提了2个，再也不赌了,https://tieba.baidu.com/p/6397690178,23,"
            12-20        ",,,,,,
辟谣！用医保卡给他人买药保险不理赔,https://tieba.baidu.com/p/6409676486,17,"
            12-26        ",,,,,,
重疾险到底买返还型or消费性型？我找到了完美的答案,https://tieba.baidu.com/p/6411651899,0,"
            12-26        ",,,,,,
我在保险公司的日子-初入保险公司,https://tieba.baidu.com/p/6373793002,11,"
            12-26        ",,,,,,
华夏理赔怎么样？,https://tieba.baidu.com/p/5907417117,25,"
            12-26        ",,,,,,
国寿福臻享版怎么样？和平安福比哪个好？,https://tieba.baidu.com/p/6411144840,1,"
            12-25        ",,,,,,
癌症最主要的发病原因是什么？,https://tieba.baidu.com/p/6373878007,1,"
            12-4        ",,,,,,
找一个能力好的金融保险中介，长期合作，佣金丰厚,https://tieba.baidu.com/p/6210832408,7,"
            12-25        ",,,,,,
国寿E店刷脸考勤，易学堂签到刷脸,https://tieba.baidu.com/p/6400852762,5,"
            12-25        ",,,,,,
如果我的病不用住院，我叫医生开住院保险会赔吗,https://tieba.baidu.com/p/6408825957,28,"
            12-25        ",,,,,,
保险方面欢迎咨询！不是营销号！想出单！,https://tieba.baidu.com/p/6411358771,0,"
            12-25        ",,,,,,
全国性保险公估公司转让价格,https://tieba.baidu.com/p/6411338634,0,"
            12-25        ",,,,,,
各大保险公司有什么比较好的理财保险？,https://tieba.baidu.com/p/5977418183,92,"
            8-25        ",,,,,,
来一家保险公司！,https://tieba.baidu.com/p/6369953218,6,"
            12-25        ",,,,,,
中国人寿理财险POS机刷卡录单是实时代扣没有问题吗？,https://tieba.baidu.com/p/6411314950,0,"
            12-25        ",,,,,,
这个我在知乎上看的小雨伞推荐的大黄蜂三号的保险，有投这款的吗,https://tieba.baidu.com/p/6409580439,8,"
            12-25        ",,,,,,
保险业务员怎么那么难做？,https://tieba.baidu.com/p/6235743762,23,"
            12-25        ",,,,,,
【全额退保】交了多少，退多少。专业保险维权，全国退保，不限地,https://tieba.baidu.com/p/6411199262,0,"
            12-25        ",,,,,,
问，在保险公司被挂单后，佣金如果不给主管会怎么样，挂单合法吗,https://tieba.baidu.com/p/6411123124,0,"
            12-25        ",,,,,,
和谐健康总部是要从成都搬到北京吗,https://tieba.baidu.com/p/6314825119,6,"
            12-25        ",,,,,,
找人帮忙打理账号 一小时左右30操作简单，适合20以上人群 非诚勿,https://tieba.baidu.com/p/6411114793,0,"
            12-25        ",,,,,,
信息流媒体广告投放，联通大数据精准获源，可做任何行业的广告！,https://tieba.baidu.com/p/6329843024,14,"
            1-2        ",,,,,,
想给农村父母买保险，求专业人士推荐险种类型，情况如下：,https://tieba.baidu.com/p/6361273737,53,"
            12-25        ",,,,,,
吧友们好，有个问题请教一下，就是我买的华夏医保通百万医疗，选,https://tieba.baidu.com/p/6408040705,32,"
            12-25        ",,,,,,
意外险搞定，这几天准备医疗险。,https://tieba.baidu.com/p/6409695987,17,"
            12-25        ",,,,,,
42岁的年纪应该承载着多少责任，同时有多少未完成的遗憾。,https://tieba.baidu.com/p/6410378846,3,"
            12-25        ",,,,,,
【芯爱2号重疾险】慧择保险网上线芯爱2号，两大特点值得关注,https://tieba.baidu.com/p/6411066541,0,"
            12-25        ",,,,,,
保险公司百万医疗，住院保，中端医疗，防癌医疗有哪些？怎么选？,https://tieba.baidu.com/p/6410685787,0,"
            12-25        ",,,,,,
1、被忽悠骗购买，不懂购买的！2、买错，感觉不合适不划算的！,https://tieba.baidu.com/p/6411038897,0,"
            12-25        ",,,,,,
第三方支付pos机代理还能做多久？看下文数据就明白了,https://tieba.baidu.com/p/6230507494,4,"
            12-25        ",,,,,,
1、被忽悠骗购买，不懂购买的！2、买错，感觉不合适不划算的！,https://tieba.baidu.com/p/6411035364,0,"
            12-25        ",,,,,,
寿险财险,https://tieba.baidu.com/p/6409872962,2,"
            12-25        ",,,,,,
27周岁买l 金佑人生终身寿险分红型b款2017版，这个好吗？,https://tieba.baidu.com/p/6141630654,155,"
            12-25        ",,,,,,
亲们帮我看一下这大福星保障计划性价比怎么样，还有三天犹豫期，,https://tieba.baidu.com/p/6408717272,12,"
            12-25        ",,,,,,
骗局？《唐人街探案3》个人可以投资？可信吗？,https://tieba.baidu.com/p/6330059838,12,"
            1-3        ",,,,,,
如何用保险保障自己的一生（深度好文）,https://tieba.baidu.com/p/6409313422,3,"
            12-25        ",,,,,,
线上与线下（从业人员）的力量:很多消费者总问我，为啥线下业务,https://tieba.baidu.com/p/6341665059,18,"
            12-25        ",,,,,,
如果你现在保险已经无法承担如此多的保费，而且感觉之前又花了那,https://tieba.baidu.com/p/6410858124,0,"
            12-25        ",,,,,,
行业精英的秘密武器#民航总院被扎伤女医生去世#,https://tieba.baidu.com/p/6410845791,1,"
            12-25        ",,,,,,
专业保险网站建设、保险网站设计与制作模板展示,https://tieba.baidu.com/p/6410861199,1,"
            12-25        ",,,,,,
帮我看看这个保险的配置,https://tieba.baidu.com/p/6400245229,53,"
            12-25        ",,,,,,
优秀保险从业社群；,https://tieba.baidu.com/p/6397910802,3,"
            12-25        ",,,,,,
1、被忽悠骗购买，不懂购买的！2、买错，感觉不合适不划算的！,https://tieba.baidu.com/p/6410710314,0,"
            12-25        ",,,,,,
购买了平安e生保，还想补充一个万元的0免赔医疗保险，最好带门诊,https://tieba.baidu.com/p/6395259424,21,"
            12-25        ",,,,,,
开心保：华贵大麦2020定期寿险多少钱一年？附费率表,https://tieba.baidu.com/p/6410619543,0,"
            12-25        ",,,,,,
中国平安四川公司，想买保险的朋友都可以咨询我。,https://tieba.baidu.com/p/5449478006,6,"
            12-25        ",,,,,,
有關香港保險 可加微信諮詢,https://tieba.baidu.com/p/6359790753,3,"
            12-25        ",,,,,,
上海硕狐软件科技Foxcall呼叫中心系统，网销，电销，通话服务,https://tieba.baidu.com/p/6410571241,0,"
            12-25        ",,,,,,
被保险公司骗了，该怎么办？？,https://tieba.baidu.com/p/4036345234,35,"
            12-25        ",,,,,,
上海硕狐科技微信分控系统      在享受现代高科技信息技术和移,https://tieba.baidu.com/p/6410553641,0,"
            12-25        ",,,,,,
我这情况会不会拒保,https://tieba.baidu.com/p/6410134987,7,"
            12-25        ",,,,,,
吧里有泰康的经纪人吗,https://tieba.baidu.com/p/6408746648,7,"
            12-25        ",,,,,,
这个我在知乎上看的小雨伞推荐的大黄蜂三号的保险，有投这款的吗,https://tieba.baidu.com/p/6410419822,2,"
            12-25        ",,,,,,
华贵大麦的寿险可在哪里买？,https://tieba.baidu.com/p/6292037271,14,"
            12-25        ",,,,,,
问一下阳光保险怎么样 好像叫真心守护b 交十年 一个月三百多,https://tieba.baidu.com/p/5808354462,18,"
            12-25        ",,,,,,
有没有接待过蛛网膜囊肿 重疾险投保成功的,https://tieba.baidu.com/p/6408717545,24,"
            12-25        ",,,,,,
电销机器人怎么样,https://tieba.baidu.com/p/6410437568,0,"
            12-25        ",,,,,,
中国人寿金彩明天分红型a型，有给介绍下的吗？？,https://tieba.baidu.com/p/6406224073,32,"
            12-25        ",,,,,,
··新手外汇入门必看经典资料，免费分享！,https://tieba.baidu.com/p/6407847008,1,"
            12-25        ",,,,,,
各位大哥…百万医疗买哪家谢谢,https://tieba.baidu.com/p/6389046179,43,"
            12-25        ",,,,,,
有大神吗  负责合格的那种  近期想买份保险  了解一下,https://tieba.baidu.com/p/6404363443,28,"
            12-25        ",,,,,,
各位大神 我想知道买这几个靠谱吗,https://tieba.baidu.com/p/6407901435,14,"
            12-25        ",,,,,,
买了保险单退过款的，从里面取过钱的，已经断缴费，不想继续缴的,https://tieba.baidu.com/p/6410312428,0,"
            12-25        ",,,,,,
12月苏宁一分购的商品池更新完毕！新增很多商品哦[嘿哈][嘿,https://tieba.baidu.com/p/6372029176,38,"
            12-25        ",,,,,,
公司注册变更注销，欢迎来撩,https://tieba.baidu.com/p/6389940491,4,"
            12-25        ",,,,,,
杭州公司注册变更注销，欢迎来撩,https://tieba.baidu.com/p/6397002152,3,"
            12-25        ",,,,,,
保险AI机器人上线啦~~~一个机器人顶十个人,https://tieba.baidu.com/p/6350625374,25,"
            12-25        ",,,,,,
有了外呼AI机器人，效率比同行快一步,https://tieba.baidu.com/p/6352501369,24,"
            12-25        ",,,,,,
想咨询对比保险的客户可以加我卫星15195957506拿着方,https://tieba.baidu.com/p/6410262495,0,"
            12-25        ",,,,,,
上海硕狐科技微信分控系统      在享受现代高科技信息技术和移,https://tieba.baidu.com/p/6410249120,0,"
            12-25        ",,,,,,
该不该去保险公司做？就怕钱没赚到，自己套进去了，,https://tieba.baidu.com/p/6410245504,0,"
            12-25        ",,,,,,
保险告知问题咨询，保险大神请帮忙看一下,https://tieba.baidu.com/p/5999459891,7,"
            12-25        ",,,,,,
AI电话销售语音机器人，呼叫中心管理系统,https://tieba.baidu.com/p/6408389043,1,"
            12-25        ",,,,,,
免费体验一下你就知道了,https://tieba.baidu.com/p/6410181012,0,"
            12-25        ",,,,,,
百万随行免费领,https://tieba.baidu.com/p/6410168429,0,"
            12-25        ",,,,,,
想问问人寿保险趸交一万五年到期后能拿回来多少？,https://tieba.baidu.com/p/6406054350,15,"
            12-25        ",,,,,,
有性价比高点的月交重疾险吗,https://tieba.baidu.com/p/6405830299,11,"
            12-25        ",,,,,,
已经这个时代了，你觉得自己还能再迷茫下去吗？,https://tieba.baidu.com/p/6156791471,102,"
            12-25        ",,,,,,
大家好，有天安人寿的朋友吗，能给介绍一下天安金如意账户吗，谢,https://tieba.baidu.com/p/6407009485,3,"
            12-25        ",,,,,,
各位尊敬的吧友，请大家保持公平公正的态度来评一评此事！！！,https://tieba.baidu.com/p/6407035709,7,"
            12-25        ",,,,,,
人寿 保险 康宁这个怎么样，本人马上24岁 女,https://tieba.baidu.com/p/6407494443,18,"
            12-25        ",,,,,,
贴吧里好多听都没听说过的保险公司啊不了解了～,https://tieba.baidu.com/p/6394275942,38,"
            12-26        ",,,,,,
热情上进，想在大魔都拓展社交的你快来加入我们吧（也招兼职）,https://tieba.baidu.com/p/6409773308,0,"
            12-24        ",,,,,,
经济发展的本质是满足全体人民日益丰富的物质和精神需求今日之中,https://tieba.baidu.com/p/6409748610,0,"
            12-24        ",,,,,,
我又来蹭热度来了,https://tieba.baidu.com/p/6409744960,0,"
            12-24        ",,,,,,
尊享一生2019里面条款是没有保证续保啊。但是说明里面有，有,https://tieba.baidu.com/p/6198895763,21,"
            12-24        ",,,,,,
公司发展的又一业务-----退保单：朋友你或者你身边有没有买,https://tieba.baidu.com/p/6409678097,0,"
            12-24        ",,,,,,
公司发展的又一业务-----退保单：朋友你或者你身边有没有买,https://tieba.baidu.com/p/6409678580,1,"
            12-24        ",,,,,,
养老保险中断了，后果很严重？该怎么办？,https://tieba.baidu.com/p/6407592306,1,"
            12-23        ",,,,,,
想给全家买保险，有啥好的建议吗？？,https://tieba.baidu.com/p/6386961282,41,"
            12-24        ",,,,,,
最近车险快到，保额没了解清楚，我还真的不敢轻易的下单！,https://tieba.baidu.com/p/6409190545,2,"
            12-24        ",,,,,,
我们总是喜欢拿“顺其自然”来敷衍人生，道路上的荆棘坎坷，却很,https://tieba.baidu.com/p/6409558866,0,"
            12-24        ",,,,,,
公司发展的又一业务-----退保单：朋友你或者你身边有没有买,https://tieba.baidu.com/p/6409396298,2,"
            12-24        ",,,,,,
来北京工作一年，买保险从老家买还是北京买好？,https://tieba.baidu.com/p/5931295751,39,"
            12-24        ",,,,,,
非标体客户，核保结论1、标准体承保：不附加任何条件，按照标准,https://tieba.baidu.com/p/6409431535,0,"
            12-24        ",,,,,,
中国人寿员工，有相关，车险，意外险，健康医疗，理财及教育险，,https://tieba.baidu.com/p/6409406277,0,"
            12-24        ",,,,,,
平安财富鑫生,https://tieba.baidu.com/p/6308981879,6,"
            12-24        ",,,,,,
打算买车，想咨询下车险，有可以为我解答一下的吗V：16511,https://tieba.baidu.com/p/6408837000,3,"
            12-24        ",,,,,,
想给宝宝一出生就买保险，听说是要宝宝满28天就可以买，最好买,https://tieba.baidu.com/p/5819871901,40,"
            12-24        ",,,,,,
芯爱2号重疾险保障责任有哪些呢,https://tieba.baidu.com/p/6409322780,1,"
            12-24        ",,,,,,
1、被忽悠骗购买，不懂购买的！2、买错，感觉不合适不划算的！,https://tieba.baidu.com/p/6409313235,0,"
            12-24        ",,,,,,
大隐隐于市,https://tieba.baidu.com/p/6409309156,0,"
            12-24        ",,,,,,
世界这么大，我想去看看之旅行险梳理测评,https://tieba.baidu.com/p/6409296212,0,"
            12-24        ",,,,,,
贫血、性病延期承保问题多贫血是一种症状，而不是具体的疾病,https://tieba.baidu.com/p/6409279882,0,"
            12-24        ",,,,,,
邀请函,https://tieba.baidu.com/p/6409249883,0,"
            12-24        ",,,,,,
好医保长期医疗   是百万医疗跟重疾两种吗？,https://tieba.baidu.com/p/6041618361,60,"
            12-24        ",,,,,,
【短信推广】【联通大数据精准营销】【媒体广告投放信息流】,https://tieba.baidu.com/p/6328166557,7,"
            12-10        ",,,,,,
父母之爱子必为其计深远之少儿保险深度测评,https://tieba.baidu.com/p/6409226093,0,"
            12-24        ",,,,,,
上海硕狐软件科技Foxcall呼叫中心系统，网销，电销，通话服务 上,https://tieba.baidu.com/p/6409218659,0,"
            12-24        ",,,,,,
专业平安代理人有任何疑问可以咨询,https://tieba.baidu.com/p/6401989817,12,"
            12-24        ",,,,,,
请问这种情况保险公司要赔付吗？,https://tieba.baidu.com/p/6408918382,3,"
            12-24        ",,,,,,
我想问问大家华夏保险一年交8000交10年，再过10年翻倍拿,https://tieba.baidu.com/p/6378454444,68,"
            12-24        ",,,,,,
华夏四十八条，很坑,https://tieba.baidu.com/p/6365377145,7,"
            12-24        ",,,,,,
身体健康很重要,https://tieba.baidu.com/p/6409092003,0,"
            12-24        ",,,,,,
平安车险的核保和核赔岗位哪个好,https://tieba.baidu.com/p/3201069175,2,"
            12-24        ",,,,,,
无题,https://tieba.baidu.com/p/6409044605,1,"
            12-24        ",,,,,,
有没有人买了上当的保险，可来找我,https://tieba.baidu.com/p/6408981380,0,"
            12-24        ",,,,,,
1、被忽悠骗购买，不懂购买的！2、买错，感觉不合适不划算的！,https://tieba.baidu.com/p/6408955358,0,"
            12-24        ",,,,,,
上海硕狐科技微信分控系统      在享受现代高科技信息技术和移,https://tieba.baidu.com/p/6408901347,0,"
            12-24        ",,,,,,
上海硕狐软件科技Foxcall呼叫中心系统，网销，电销，通话服务 上,https://tieba.baidu.com/p/6408888304,0,"
            12-24        ",,,,,,
这里有你【想】要的能出单的客源,https://tieba.baidu.com/p/6408854701,0,"
            12-24        ",,,,,,
如何评价前海人寿近几年来在保险行业的表现？,https://tieba.baidu.com/p/6408735765,2,"
            12-24        ",,,,,,
平安人寿的e生保改条款了？原来的条款是平安人寿｛2017｝医,https://tieba.baidu.com/p/6192811841,53,"
            12-24        ",,,,,,
《夫妻离婚后 如何处理保单》在婚姻关系存续期间，配偶一方作为,https://tieba.baidu.com/p/6408745141,0,"
            12-24        ",,,,,,
香港保险网、展示位、获取。,https://tieba.baidu.com/p/6408706484,0,"
            12-24        ",,,,,,
太平的福禄嘉倍怎么样阿！谢谢了,https://tieba.baidu.com/p/6402731492,10,"
            1-5        ",,,,,,
嗨学教育，寻找西南正规外呼公司合作,https://tieba.baidu.com/p/6335129220,1,"
            12-24        ",,,,,,
有专业的人吗？我想问下泰康的国寿福终身寿险臻享版，和泰康康护,https://tieba.baidu.com/p/6387237618,25,"
            12-17        ",,,,,,
我们是做互联网保险的公司，类似蜗牛保险，多保鱼，深蓝保这种线,https://tieba.baidu.com/p/6386947431,12,"
            12-23        ",,,,,,
这情况有没保险可以买？,https://tieba.baidu.com/p/6356488581,10,"
            12-24        ",,,,,,
保险现在好做吗？大家都是怎么去找的客户啊？,https://tieba.baidu.com/p/6407289080,3,"
            12-24        ",,,,,,
个人关于保险的一些事和感想,https://tieba.baidu.com/p/6231382464,1220,"
            12-23        ",,,,,,
买了保险单退过款的，从里面取过钱的，已经断缴费，不想继续缴的,https://tieba.baidu.com/p/6408556008,0,"
            12-24        ",,,,,,
上海硕狐科技微信分控系统      在享受现代高科技信息技术和移,https://tieba.baidu.com/p/6408513967,0,"
            12-24        ",,,,,,
小哥哥小姐姐们，有卖保险的嘛，家里的车保险到期了，想买车险，,https://tieba.baidu.com/p/6408412258,1,"
            12-24        ",,,,,,
保险知识交流学习群，想进群学习的朋友看过来哟。,https://tieba.baidu.com/p/6408498148,2,"
            12-24        ",,,,,,
电销机器人怎么样,https://tieba.baidu.com/p/6408489729,0,"
            12-24        ",,,,,,
Foxcall呼叫中心系统，网销，电销，通话服务。 上海硕狐软件科,https://tieba.baidu.com/p/6408475914,0,"
            12-24        ",,,,,,
智能客服机器人，回复准确率达92%，节省70%人力成本,https://tieba.baidu.com/p/6398468747,1,"
            12-24        ",,,,,,
双剑合璧，五位一体,https://tieba.baidu.com/p/6408444402,0,"
            12-24        ",,,,,,
短信推广 找我就对了 什么都可以来,https://tieba.baidu.com/p/6408409429,0,"
            12-24        ",,,,,,
啊哈 想得永生哈哈 （*＾ワ＾*）  有没有什么样商业险 保,https://tieba.baidu.com/p/6402089660,19,"
            12-24        ",,,,,,
