用户名,博文,预测是否担忧（1=担忧，0=不担忧）,是否担忧（1=担忧，0=不担忧）,转发数,评论数,点赞数,发文时间,来自,页面网址,博文链接
SUNNY阳光花园,我现在担心知道上午就卖完了咋办？『“恩博熙带路国际2020”新年市集28-29开启武清威尼都！Hereweare！！』O“恩博熙带路国际2020”新年市集28-29开启武清威尼都！Hereweare！！​,0,0,  , , ,"
                        2019年12月21日 15:30
                        ",HUAWEI P30 Pro,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=10,https://weibo.com/1656989374/IlNIh5xy2?refer_flag=1001030103_
因你的舞喜欢上你,我的天呐～《人间至味是清欢》第四集，翟至味被安清欢亲了额头😓他还用手摸了额头亲了下自己的手……😭😭我酸了，昨晚才爬墙翟至味，今天就想脱粉……虽然我并不是女友粉，可照这样下去，明年谢允来了，我该咋办啊😭我真担心自己酸成柠檬​,0,0,  ,1, ,"
                        2019年12月21日 15:15
                        ",,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=10,https://weibo.com/5292382873/IlNCrmKMe?refer_flag=1001030103_
树樱Richard,tmd老子担心半天攻打职业年龄太大了咋办结果发现他也就21比我还小的21​,0,0,  , , ,"
                        2019年12月21日 14:50
                        ",,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=10,https://weibo.com/3488159167/IlNsjt8sq?refer_flag=1001030103_
52hz深海的鲸,做学生可是觉得自己不适合学习咋么办唉现在又担心矩阵挂科又不想学谁来救救孩子吧​,0,0,  ,2, ,"
                        2019年12月21日 14:41
                        ",OPPO K1,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=10,https://weibo.com/5828105858/IlNoFrCSF?refer_flag=1001030103_
嘀嗒嘀嗒下小鱼,好担心肖老师退休之后考研政治该咋办啊哈哈哈​,0,0,  , , ,"
                        2019年12月21日 13:05
                        ",HUAWEI P30,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=10,https://weibo.com/5786390633/IlMLxaa2a?refer_flag=1001030103_
啊哦李红艳哟,#肖秀荣押题#怎么说，感觉肖大大还是很牛逼，真担心肖大大退休了考研的孩子们可咋办​,0,0,  ,5,9,"
                        2019年12月21日 12:37
                        ",HUAWEI nova 3e,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=10,https://weibo.com/5733509324/IlMzYi6To?refer_flag=1001030103_
小羊做得到想得那样,陪考。学校对面饭店里一双父母，望眼欲穿，母亲叨叨着饭难吃，下午去附近找饭店，明天直接带孩子过去，父亲，这关键时刻，你吃坏她咋办呐！母亲一直担心饭凉了，父亲安慰母亲，你不要急，她就是比较磨蹭。情绪会感染的吧，突然我也变得老母亲般忧心起来，咋还不出来​,0,0,  , ,3,"
                        2019年12月21日 11:48
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=10,https://weibo.com/1713838080/IlMg6oMvk?refer_flag=1001030103_
重庆星宸何春涛,术后一周双眼皮不对称咋办？不必担心！术后肿胀期，双眼不一样，属于正常现象。造成这样的原因比较多，比如说，医生切口深度，切除组织多少，以及缝合细节，或者术前有下垂、肿眼泡等情况，都有可能造成术后不一样。​​​​​​​,0,0,  , , ,"
                        2019年12月21日 11:32
                        ",微博 weibo.com,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=10,https://weibo.com/7357082429/IlM9Jht94?refer_flag=1001030103_
我妈的女儿不会输,担心万一我带的现金用完了连回来的机票都买不回来，导致我要沦落墨尔本街头咋办？我想起来，支付宝是个好东西，机票可以在上面订哇​,0,0,  , , ,"
                        2019年12月21日 09:01
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=10,https://weibo.com/5718777322/IlLainCiS?refer_flag=1001030103_
绿灯等一下,好担心挂在外面的肠啊要不要拿进来万一明天乌鸦给我叼走了咋办怎么办啊​,0,0,  , , ,"
                        2019年12月20日 23:38
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=10,https://weibo.com/2396743147/IlHtNBdWQ?refer_flag=1001030103_
酒铉,我真的想回家了好好玩玩和朋友们聚聚但是我担心我在学校天天口吐芬芳回家咋办呐！​,0,0,  ,4,2,"
                        2019年12月20日 21:36
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=10,https://weibo.com/3753286823/IlGGkrt5o?refer_flag=1001030103_
证师考律墙南撞告警,记12.20嗯今天没有好好背书🙋一个小时之前我在担心关了灯我会害怕于是我问旭我要是害怕咋办他就→图一然后没等我回复视频电话就打过来了嘻嘻今天我特意拜托了我爸我爸拜托了我三姑一起爱旭明天要去上课紧张还没考完试呢就和我说买好了火车票啊想他快考完吧太辛苦了这几个月健康你带我走吧收起全文d,0,0,  ,2,2,"
                        2019年12月20日 21:16
                        ",魅族 16 旗舰手机,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=10,https://weibo.com/6271767814/IlGyoFIyV?refer_flag=1001030103_
稚然Childish,说真的突然好担心这个号会不会被同学发现了…我该咋办啊，我只想找个自己的小地方​,0,0,  , , ,"
                        2019年12月20日 19:44
                        ",微博国际版,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=10,https://weibo.com/5649323987/IlFWTc2fF?refer_flag=1001030103_
可耐的陈北鼻,现在就开始担心明年考两科咋办不过还是开森哒​,0,0,  ,3,4,"
                        2019年12月20日 19:34
                        ",小恶魔👿iPhone 6s,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=10,https://weibo.com/1713766025/IlFSQm5RT?refer_flag=1001030103_
佛嘟嘟,我以前一直搞不懂思密达联播为何总是那么的声嘶力竭，而且很担心她上气接不上下气咋办！这些天坐禅“想一想”终于开悟。其实曹县的咆哮体不是因为自信，而是因为不自信，这种语境不会吓到别人，只会给人笑话，但它确实还有一个作用，就是能给自己壮胆，为何要给自己壮胆呢？因为走夜路啊，怕遇到鬼！​,0,0,15,13,64,"
                        2019年12月20日 19:24
                        ",快充长续航魅蓝 Note5,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=10,https://weibo.com/6253398437/IlFOG3LjV?refer_flag=1001030103_
四川工会驻杭州法律援助站,30\厨师被签保密协议竞业限制成了就业限制来源：工人日报厨师被签保密协议竞业限制成了就业限制专业人士认为，竞业限制应针对管理和掌握核心技术等人员，不应随意扩大到普通劳动者“我只是名普通厨师，却要在入职饭店时签订竞业限制协议。”11月24日，拿着辽宁大连甘井子区法院的胜诉判决书时，蒋亚军的脸上看不出喜悦。两年前，他和原用人单位大连某餐馆签了竞业限制协议。今年初离职时，他被餐馆告上法庭，并要求赔付10万元违约金。虽打赢了官司，他还是担心未来再摊上类似事情。蒋亚军只是被迫签订竞业限制协议的普通劳动者之一。《劳动合同法》规定，对负有保密义务的劳动者，用人单位可以在劳动合同或保密协议中与劳动者约定竞业限制条款。劳动者违反竞业限制约定的，应按约定向用人单位支付违约金。竞业限制的人员限于用人单位的高级管理人员、高级技术人员和其他负有保密义务的人员。近年来，为限制跳槽，一些企业与普通劳动者签起了竞业限制协议。连日来，记者持续采访了18位被迫签下竞业限制协议（或含有竞业限制条款的劳动合同）的厨师、培训机构讲师、置业顾问、美容美发师，他们讲诉各自遭遇：不签不能入职；拿违约金“威胁”只给市场价一半的薪水；用少量的补偿换取劳动者两年“失业”等等。“只有两个路口远，存在竞争关系”“乙方（劳动者）承诺，其在甲方（用人单位）离职后2年内，不得在甲方经营同类产品或提供同类服务的其他企业担任职务，不得在1年内自营与甲方相同或具有竞争性关系的产品或服务。如有违约，赔偿甲方10万元……”这份竞业保密协议，是在蒋亚军入职时签下的。2017年3月，43岁的蒋亚军到大连市一家饭店担任厨师，月薪4000元。在签订劳动合同时，老板拿出了一份竞业保密协议让他一同签署。“在餐饮业干了25年，知道行有行规，跳槽不带走菜谱、不挖人。可两年内不让跳槽其他餐馆，相当于‘失业’。”当时，蒋亚军觉得这份协议是“霸王条款”，但是不签不能入职，只能硬着头皮同意。今年初，四川老乡的火锅店开业，请他过去当合伙人，他欣然答应。没想到辞职时，用人单位没打招呼就将他告上法庭。用人单位代表争辩说：“蒋亚军自愿签了竞业限制协议，他知道店里的锅底配方、会做招牌菜，还知道部分进货渠道，我们的店距他去的那家店只有两个路口远，存在竞争关系，应当承担违约金。”蒋亚军则认为，他没有抄用菜品，不存在违约情况。法院审理后认为，该餐馆不能证明蒋亚军能接触到商业秘密，也没有举证他参与成立新餐馆给原用人单位造成的实际损失是多少，最终判企业败诉。虽与蒋亚军遭遇相似，但陈雅兰没敢据理力争。她在沈阳某培训机构任职英语讲师6年，月薪4000元，从未涨过，只有业内市场价的一半。“违约金高达40万元，实在掏不起。而且违约相当于失业1年。”记者采访签下竞业限制协议的18位普通劳动者，无一例外是在入职时被迫签下的，最高的违约金高出月薪100倍。他们既不是高级管理人员、高级技术人员，也不是高级销售人员、财务人员等有机会接触商业秘密的人员。然而，他们却面临承担支付高额违约金的风险。企业为降低岗位流失率屡出“奇招”“用2.88万元买员工‘失业’2年，保住近百个客户资源，相当于近百万元的盈利，你说哪家企业不肯做。”沈阳市铁西区一家房产咨询企业分管人事工作的副总经理王坤说，该公司与31名置业顾问都签订了竞业限制协议。根据《最高人民法院关于审理劳动争议案件适用法律若干问题的解释（四）》，劳动者履行了竞业限制义务，用人单位按照劳动者在劳动合同解除或者终止前12个月平均工资的30%按月支付经济补偿。王坤告诉记者，面对动辄上万元的违约金，员工不会轻易跳槽。就算离职，按照4000元的平均工资来算，最多给2.88万元补偿金就可以防止员工带走客户。即便闹上法庭，若判协议有效，员工支付违约金；判无效，企业也没什么损失。更何况，闹上法庭的少之又少。企业为何如此“算计”？“劳动者说走就走，带走商业秘密说用就用，造成企业损失，实属无奈之举。”王坤告诉记者，有了竞业限制，尽管协议的法律依据不足，约定范围、地域、违约金额等内容漏洞百出，但该公司的置业顾问岗位流失率从50%下降到10%。“大部分厨师跳槽几家餐馆、学会招牌菜就自己开餐馆，你只能‘干瞪眼’”“现在网课流行，一些培训讲师直接跳槽去录教学视频，有良心的改改课件，有的干脆直接拿去用”“不愿招学徒，几年后就在不远处开店抢生意、分流客户”……记者采访发现，餐饮、教育、美容美发等行业企业要求员工签竞业限制协议的尤其多，除了因为员工跳槽频繁，还因为这些行业企业对商业秘密保护明显不足，对于商业秘密的界定不清晰。由此，许多企业想出用竞业限制来防止劳动者跳槽、保护商业秘密的办法。“‘紧箍咒’不能说念就念”“厨师长是管理人员、主厨是技术人员，如果对他们有竞业限制要求，那做招牌菜的普通厨师算不算接触商业秘密的人？他要是带着手艺再开店，我咋办？”沈阳市皇姑区一家“祖传”卤味熏酱店店主刘禾出说，由于《劳动合同法》没有清晰界定适用于竞业限制的职业和岗位，致使部分企业将普通劳动者一并纳入签订竞业限制范畴。“一些劳动者可能除了剪发、做饭别无所长。如果都签了竞业限制协议，两年内既不能在所在城市的店铺里打工，也不能自己创业开店，用什么维持生计？”辽宁社会科学院社会学研究所所长王磊认为，竞业限制应当针对管理、掌握核心技术和客户的相关人员，不应扩大到普通劳动者。“‘紧箍咒’不能说念就念，竞业限制协议不应滥用成保密协议。”“完善相关法律条款才能杜绝竞业限制滥用、错用。”辽宁青松律师事务所律师王金海认为，尽快完善竞业限制的相关法律法规，哪些人员算是可以接触到商业秘密、哪些内容可以被界定为商业秘密、劳动者哪些行为属于侵犯商业秘密等内容都应有详细的司法解释。此外，建立完善的商业秘密保护制度，加大对侵犯商业秘密行为的查处和打击力度，也有利于减少因竞业限制引发的劳动争议。“劳动者也要讲诚信，不应恶意跳槽。”辽宁百联人才管理公司总经理郝红宾则认为，劳动者在职场中要信守承诺，跳槽后不应侵犯他人的商业秘密。（部分受访者为化名）（记者刘旭）原文链接：O网页链接收起全文d,0,0,  ,1,1,"
                        2019年12月20日 16:44
                        ",搜狗高速浏览器,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=10,https://weibo.com/5467861039/IlELZCY6D?refer_flag=1001030103_
邱亚辉10811,刚开始第一天都为你而心跳，每一刻都被你感动，有你的感觉真好.每一秒都为你担心。n多天后，开始见面.突然想好的话。都说不出来.她又不在回你短信.你准备咋办​,0,0,  , ,1,"
                        2019年12月20日 15:45
                        ",微博 weibo.com,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=11,https://weibo.com/5925464048/IlEnMxKZ5?refer_flag=1001030103_
OLlNE杨华造型,"短发尴尬期如何过渡?赵今麦一条龙演示,让你蓄发过程不再丑#OLlNE杨华造型##企业微博品牌榜#说起赵今麦,现在应该没几个人不认识。作为一个02年出生的小童星最近还真是有点来势汹汹,2016年出演了《小别离》中的学霸金琴琴让她小有名气,那个时候的赵今麦还是黑长直造型:2018年和张嘉倪,闫妮搭戏出演《少年派》才真的让她火起来了。剧里的林妙妙乐观积极,短发俏皮又鬼马。也是从这个时候赵今麦开始了她的短发历程:1今年年初的电影《流浪地球》也是赵今麦首次作为女主登上电影荧幕,拍摄时仅有14岁的赵今麦波波头短发看起来也很稳重。翻看赵今麦最近的动态才发现,原来妹子的头发都这么长了。不过印象里赵今麦的蓄发过程似乎一直都很好,看那些处在尴尬期的妹子们,不妨跟着学习下~v^,超短的发年初为了宣传《流浪地球》,赵今麦也是跑了很多城市参加路演。首映礼的时候她还是“狗啃式”的超短发,说实话这个短发没点颜值还真不敢剪~一不小心剪了不适合自己的超短发怎么补救呢?别担心,看看赵今麦的这些超短发造型,总有一款适合你!1、编发造型编发和超短发简直是绝配,略显慵懒的长度搭配可爱的小辫子会让整个人的甜度直线上升!狗啃刘海不好看的妹子一定要试试把刘海编上去,适当留些碎发会显得脸小哦!V刘海侧编上去不仅把超短发中最难驾驭的刘海给解决了,还能很好的起到一个装饰的作用,看起来更精致。除了侧编,你还可以试试全头编,不过这个难度系数就比较高啦。肉肉脸的妹子一定要记住留些小碎发,不然会显的脸肥肥的。1所以哪怕是超短发妹子,利用编发,小卡子,也可以轻松打造马尾造型心手残党不会编头发咋办呢?那你就不要编,直接把刘海扎起来,固定在耳后。比起编发这样更“懒”人哦~2,苹果头超短发的妹子一定要试试这个可爱的造型!比起编发要简单的多,在头顶扎一个小揪揪就好了,虽然简单但是萌到爆!赵今麦超短发的时候就很喜欢这个发型~《少年派》里的赵今麦就经常苹果头出镜,发型也让“林妙妙”这个人物更加可爱生动~-ф短发6月份左右的时候,赵今麦的头发明显变长了很多。完成从超短发到中短发的过渡,比起超短发的清新可爱,这个时期的赵今麦有种“吾家有女初长成”的惊艳感:其实不仅是发型,从穿搭上也不难看出赵今麦风格的转变,开始从甜心少女变身时髦小姐姐,留过短发的妹子都知道,如果不做处理的话头发会长的很没有层次感。所以赵今麦这个时候的发尾开始外翻了,优雅的同时又有点小皮。如果妹子们的发型现在正在“半长不短”的状态,可以试试用卷发棒把发尾外翻,打造出一种自然的弧度。刘海也可以适当夹出空气感,画个清淡的妆就很清纯了。其实这个长度的头发可以塑造的风格真的很多,不仅是清纯,画个红唇整个人变得成熟妩媚,但外翻的发尾又能中和一点小性感。想走复古风的妹子可以试试从头顶开始卷,卷出类似于玉米烫的感觉,但是一定不要用力过猛,这样做还有一个优点就是显发量多~不觉得这个样子的赵今麦已经脱离了稚气感吗?偶尔想要少女一些的时候还可以在头顶扎个哪吒头。三、中长发现在的赵今麦可以说是“熬出了头”了,头发已经过肩,离长发及腰还远吗?这个长度发型的可选性就更多啦,赵今麦开始了她的“花式中长发”~v我实名爱赵今麦的丸子头!她的这组照片真的美到我了,不过仔细端详,简单的丸子头也有很多小心机!赵今麦属于肉肉脸,所以特意两边头发留出一些来遮脸,微卷的弧度更显随意如果脸不是很瘦的妹子一定要让这个小技15日丸子头适当扎的蓬松些,两侧留下几缕头发遮脸用!头发达到这个长度,可以试试拳击辫,简直又酷又美~喜欢优雅吗?赵今麦同样可以演示给你看!不管是扎低辫子还是复古感的卷发,这个长度都可以做,可以看得出,年纪不大,赵今麦的驾驭能力还是很强的。赵今麦的短发蓄长造型就说到这了,其实她不仅可塑性强,对时尚的见解也很到位。最近参加了综艺《潮流合伙人》,一起期待她的表现#oline零线美发沙龙#Е~2北京收起全文d",0,0,  , ,2,"
                        2019年12月20日 15:26
                        ",HUAWEI P30,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=11,https://weibo.com/6028731221/IlEg7mpUb?refer_flag=1001030103_
陌上花开cq,一直担心着解出来如果不是我要的结构咋办，结果实压根儿解不出来太讽刺​,0,0,  , , ,"
                        2019年12月20日 15:14
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=11,https://weibo.com/5363044413/IlEbwvPCV?refer_flag=1001030103_
农行主任团伙假抵押致老人死亡,近70岁空巢父亲被内蒙古鄂尔多斯农行主任任建明任相国、中国人寿杨兰香团伙假房产抵押诈骗138万敲诈教唆设套关Y致死，多律师看完材料，称涉黑涉恶不接，同时担心去了当地回不来，我自己也不敢回去给父亲上坟也不能保证律师安全，咋办#鄂尔多斯农行起诉举报者##中国人寿银保部杨兰香##为父讨债##精英律师东北出道#收起全文d,0,0,  ,3,1,"
                        2019年12月20日 11:38
                        ",,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=11,https://weibo.com/5997507211/IlCLIF13U?refer_flag=1001030103_
喜欢大鹅的仙儿,#有个弟弟是什么体验#小时候担心他磕着碰着，不敢让他去高处可是小孩子不就应该多去体验一下嘛🙊如果我有自己的孩子可咋办🙅不能这样​,0,0,  , ,3,"
                        2019年12月20日 11:11
                        ",荣耀V10 我AI的快,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=11,https://weibo.com/5471740049/IlCANo05Z?refer_flag=1001030103_
帅哥厨改二,做梦梦见头发突然掉色成黄绿色一丝担心之余更多的是欣喜若狂可以红色染的更显色以及红色染膏可能不够了咋办biabia然后就多睡了一个小时差点迟到嘻嘻​,0,0,  , , ,"
                        2019年12月20日 09:09
                        ",不愧是你迷惑行为大赏,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=11,https://weibo.com/6559556879/IlBN6Bumf?refer_flag=1001030103_
爱的代队长,迷人的郭老师难受😖，好担心郭子以后在SM平台直播老被封号咋办啊​,0,0,  , , ,"
                        2019年12月20日 00:27
                        ",迷人的郭老师超话,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=11,https://weibo.com/2160831750/Ilyns7VAD?refer_flag=1001030103_
我是哈欠大王,越到考试时间就越佛我现在只担心我考试的时候想睡觉咋办我想着去买风油精的​,0,0,  , , ,"
                        2019年12月19日 23:28
                        ",HUAWEI nova 青春版,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=11,https://weibo.com/5715112051/IlxZcC0dl?refer_flag=1001030103_
玻色子酱,#小布成长日记#我好喜欢小布啊好想抱着它到天荒地老但是怕它吓die所以现在只敢小心摸一摸，每天早上我躺床上听它在喝水吃东西打滚就很安心话说看了网上一些例子有点瞎担心，万一店主看错了它是母的咋办呢。我现在又不想掀起它身子看生殖器​,0,0,1, , ,"
                        2019年12月19日 19:14
                        ",iPhone XR,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=11,https://weibo.com/3212355214/Ilwk8AFJg?refer_flag=1001030103_
小许的小喵ss,#多肉#我的肉肉旁边这个小笌笌越来越大了，担心他会把母株吃掉，我该咋办泥忧愁2郑州·中牟县​,0,0,  ,4, ,"
                        2019年12月19日 18:56
                        ",HUAWEI P30,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=11,https://weibo.com/6316990166/IlwcRFzMD?refer_flag=1001030103_
徐思QI值得爱_,#男男的碎碎念时刻#我太喜欢收藏颜值高的东西我爱他们真担心大学毕业可咋办！​,0,0,  ,2,3,"
                        2019年12月19日 18:26
                        ",,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=11,https://weibo.com/6204425157/Ilw0WmnM3?refer_flag=1001030103_
小巧·不玲珑,我是真的很担心我的胳膊不好使了咋办2武汉·亿童大厦​,0,1,  ,4,1,"
                        2019年12月19日 18:05
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=11,https://weibo.com/3030341527/IlvSdB9Ti?refer_flag=1001030103_
大昭寺的九眼至纯天珠,考前做卷子懵对的太多担心影响考场上的运气…蒙对的太少，又担心不是真正的考试都做到这种程度了，考试咋办啊我太难了，毕竟不是自己真会2德州·德州学院​,0,0,  , , ,"
                        2019年12月19日 17:27
                        ",nova4自拍极点全面屏,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=11,https://weibo.com/3083559933/IlvCJj9Ez?refer_flag=1001030103_
V亦正亦邪,臭宝前天晚上去医院看了，大夫说是支原体感染，在网上查说支原体感染很麻烦，很容易复发，我又担心起来，臭宝为啥会支原体感染呢？抵抗力差？这如果以后总复发可咋办啊，我好担心.而且臭宝昨天晚上又突然发烧了，自己出一点汗退一点一会又烧，浑浑噩噩的睡了一夜。上午又退了些，今晚不知道还会不会烧起来，担心啊收起全文d,0,1,  , , ,"
                        2019年12月19日 15:34
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=11,https://weibo.com/5400959723/IluSX5mQ8?refer_flag=1001030103_
