用户名,博文,关键词,是否担忧（1=担忧，0=不担忧）,标签1（担忧对象）,标签2（担忧什么）,标签3（什么保险）,标签4（症状）,转发数,评论数,点赞数,发文时间,来自,页面网址,博文链接
original初_96,你们这样会不会得病�我认真的，很多病可以通过唾液传染的，互塞看得我心梗�窒息智熄操作,会不会得病,1,自己,健康,健康保险,担忧,  , , ,2019年12月03日 14:53,魅族 16 旗舰手机,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=12,https://weibo.com/6180213612/Ij3MxqfLC?refer_flag=1001030103_
最艰难的生活,2019年又是我的灾年，国家在进步，我却一直处于水深火热之中，想认真做点事情根本安不下心来，浑身的债务压的喘不过气，今年每天几乎都是煎熬，每天都是，我会不会死呢？会不会撑不住得病呢？会不会被压垮呢？太难了2上海​,会不会得病,1,自己,健康,健康保险,担忧,  , ,1,"
                        2019年12月02日 11:27
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=12,https://weibo.com/7308091715/IiT0ooK34?refer_flag=1001030103_
要吃饭的小仙女,我会不会得病啊2邢台​,会不会得病,1,自己,健康,健康保险,担忧,  ,2, ,"
                        2019年12月02日 00:21
                        ",vivo X21屏幕指纹手机,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=12,https://weibo.com/6016899235/IiODOrZMo?refer_flag=1001030103_
查理微甜,很多时候我都把情况想的很严峻很糟糕，我觉得我再也不会笑了。我那天真的哭的上气不接下气，就像真的再也无法开心了。鼻涕纸扔了一桌子，带着我的绝望和悲伤被揉进纸团，但是并没有缓解我的难过。那一瞬间，我真的觉得我不会再开心了。我那一刻是慌张的，我一瞬间有很多想法。我会不会得病了，我怎么会这样呢，我打开手机却控制不住看些沮丧的消息。他们就像一张巨大的网，把我的情绪紧紧的包裹，我没有喘息的机会。那天我哭哭啼啼的打字，诉说着一件件我不能控制情绪的事情，每一个字里面都带着我的控诉，我的挣扎，我的惦念。我就像无力的拍打透明玻璃，我看到对面的李静慌乱的关心，但我只想狠狠的把手中的刀扎向自己。不是的，我很想活，我只是有点难过。但是也不是那么绝望，你看，我最后吃到了喜欢的食物，看了看有趣的综艺，跟着他们笑了起来。我觉得我挺过来了，我特别高兴。我赢了。收起全文d,会不会得病,1,自己,健康,健康保险,抑郁,  , , ,"
                        2019年11月30日 21:55
                        ",微博国际版,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=12,https://weibo.com/6463826239/IiEgc2JuP?refer_flag=1001030103_
自言自语话太多是我,每天都在怀疑自己睡觉不仅晚，吃饭不规律还爱吃垃圾食品会不会得病​,会不会得病,1,自己,健康,健康保险,作息不规律,  , , ,"
                        2019年11月29日 16:00
                        ",,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=13,https://weibo.com/5202163730/IisvJg6rn?refer_flag=1001030103_
Kissee_,为什么没胃口一天就一顿饭这样我会不会得病​,会不会得病,1,自己,健康,健康保险,作息不规律,  ,5,2,"
                        2019年11月29日 15:35
                        ",OPPO K3 硬核少年,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=13,https://weibo.com/5211685083/IislEihCi?refer_flag=1001030103_
wym爱上板栗的味道,我是不是得病了，如果有一天我不在了有人会不会记得我2庆阳·正宁县​,会不会得病,1,自己,健康,健康保险,担忧,  , ,1,"
                        2019年11月28日 15:54
                        ",vivo X27,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=13,https://weibo.com/3480854884/Iij2DCMcA?refer_flag=1001030103_
我最牛别反驳,吃我婆婆的饭，真的很容易高血脂，脂肪肝。我怕得病，我怕死啊，我还担心以后孩子可以吃大人的饭了会不会得病。高盐高油是我婆婆做饭的绝技了。我该如何提醒她少盐少油利于健康呢？要不直接举个高盐高油得病死掉的例子吧？算了，她还是个死倔的人，不能轻易改掉的。我决定下次回家，我先告诉她一次，不改的话，我就自己做饭了。不是别的，我真怕得病。收起全文d,会不会得病,1,自己,健康,健康保险,担忧,  , , ,"
                        2019年11月28日 12:43
                        ",荣耀9i 千元潮美旗舰,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=13,https://weibo.com/5699354119/IihN8mjSm?refer_flag=1001030103_
三张张三,#六成年轻人害怕看体检报告#因为生活不规律不健康，天天拿自己的身体瞎造啊，就怕一体检就检查出什么来等待体检结果的过程更吓人，天天吓自己，甚至用科学吓自己，墨菲定律，越害怕发生的就越可能发生，我这么害怕得病，会不会我真的就得病了啊结果体检结果出来医生就三个字“少熬夜”收起全文d,会不会得病,1,自己,健康,健康保险,作息不规律,  , , ,"
                        2019年11月28日 11:10
                        ",OPPO A7x,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=13,https://weibo.com/2828787271/IihbhybcA?refer_flag=1001030103_
往前一步是对的,有谁跟我一样天天失眠夜？这样会不会得病啊2菏泽·王店集​,会不会得病,1,自己,健康,健康保险,失眠,  , , ,"
                        2019年11月27日 21:37
                        ",OPPO A9,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=14,https://weibo.com/6489660663/IibRBchN2?refer_flag=1001030103_
实心小圆点,功利心这个东西很不好掌握，完全不在乎吧，好像还显的不积极，太在乎吧，又容易失去自我。做自己的事情，用自己的价值尺度评价自己，只是自己的价值尺度又容易受社会价值的影响。慢慢的在明白一些东西，也在调整自己。人们其实都很无奈。现在感觉就连自然都很无奈。犯了什么错就承担什么后果。就像没有爱护自然，自然灾害肯定会离你不远，即使爱护自然环境也会碰上咱们控制不了的天灾。生命一个如此脆弱的东西，如果拥有就好好珍惜。与生死来说，真的是，事无大事。所以功利这个东西也就是生命过程中的调味品。今天正好喜欢吃麻辣而已。没有换种口味也照样可以填饱肚子。今天中午突然就想起公公，想起以前他做的“和子饭”。开始他做这个的时候，我觉得挺好吃的，不过后来发现他特别喜欢做这个饭，因为他特别喜欢吃这个，我就受不了了。还给他提过我不爱吃这个。后来他就做的不那么频繁了，我知道是为了就和我。现在想想，他得病的过程中，也许想吃过这个饭，但是他自己做不了饭了，也没有提过他想吃这个。现在想想，我已经有一年多，没有吃过这个饭了。觉得有点对不起他老人家。无奈的想念。再也没有那个味道了。不知道人最终会不会到达一个什么地方，就像以前开玩笑说的，因为没有人来报信，没有沟通的渠道，看不见听不见闻不见摸不见。只能寄希望于祈祷。祈祷能有个快乐的人生。愿一切安好。收起全文d,会不会得病,0,,,,,  , , ,"
                        2019年11月27日 21:17
                        ",微博 weibo.com,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=14,https://weibo.com/1920561681/IibJoCvBI?refer_flag=1001030103_
旧城余年,今天上午在单位整理旧档案的时候，被带锈的钉子扎了一下，会不会得病啊？​,会不会得病,1,自己,健康,健康保险,担忧,  , , ,"
                        2019年11月27日 11:26
                        ",HUAWEI P30,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=15,https://weibo.com/5963588474/Ii7Rsok8h?refer_flag=1001030103_
二萌今天敷面膜了吗,今天早上我爸问我它这两天吃饭怎么样了我说你周末把它关阳台天气冷粮又容易潮湿搞得它都不吃不喝了我爸：啊，我就把它关了一晚上，第二天你就回来了呀我说，以后不要关它了，其实主人不在家的时候猫只会在窝里一直睡觉，不会拆家也不会乱跑的我爸（若有所思）：好吧，那我知道了早上去喂饭我爸也在旁边看说天天吃猫粮它会不会吃腻呀要不要弄点鱼啊什么的给它吃？我：可是我不能给猫吃食堂的饭菜猫吃人的食物时间长了对肾脏有很大的负担会得病的我爸：好吧那可以经常换一换猫粮口味我爸在沙发上坐着猫去爬到他腿上打瞌睡我爸：啊，你看！猫坐在我的腿上！它喜欢在人身上睡觉呀我真的很难以想象这些话会从一个不喜欢动物的人嘴里讲出来以前家里养狗养猫我爸摸都懒得摸收起全文d,会不会得病,0,,,,,  ,3,1,"
                        2019年11月26日 09:58
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=16,https://weibo.com/3179248570/IhXRfaSUc?refer_flag=1001030103_
张同学隔壁的同学,#早餐不吃会不会变胖#个人觉得时间长还是会变胖的，一定要吃早饭啊，不然会得病的�,会不会得病,0,,,,,  , , ,2019年11月26日 09:06,男友是千玺iPhone 11,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=16,https://weibo.com/2858469881/IhXwhxzod?refer_flag=1001030103_
wang1妖家的小小,和我姐聊完：我得病了她会不会救我？这个问题后，更加深刻认识到：不要用钱去考验人性，考验不起。买保险，就是自救啊。2北京·海通大厦​,会不会得病,0,,,,,  ,1, ,"
                        2019年11月25日 14:43
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=16,https://weibo.com/2382931661/IhQiswVx6?refer_flag=1001030103_
Daisy洁妹,如果那年家门口那颗柿子树没得病奶奶也不会砍掉它那么它今天会不会也长满了果实那可是陪着我一起长大的绿巨人啊如今却连最后一颗独苗也没了泥池子里的水仙花被拔了又种又被拔终究水葱把那块秘密基地长满了那颗我从六年级就从同学家带回来的水仙花它好争气啊不管把它种在哪里它都勇敢的冒出头还在该有的季节长出自己的花如今家门前没有了歪茶树没有了柿子树却也种满了桂花树梨树桃树还有铁树在今年它们也结满了果实啊也惹人喜爱啊你看人也一样啊，有人走了又有新人来了啊所以呀，美好总会有的，等等！收起全文d,会不会得病,0,,,,,  ,1,1,"
                        2019年11月24日 21:14
                        ",前后2000万 OPPO R11,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=16,https://weibo.com/5589460672/IhJqw9op1?refer_flag=1001030103_
lipeibing727,我只想说我不想一起住在这样子下去我是一个没有灵魂的我这样子下去我会不会得病​,会不会得病,1,自己,健康,健康保险,担忧,  , , ,"
                        2019年11月24日 20:53
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=16,https://weibo.com/7056253892/IhJidm2rC?refer_flag=1001030103_
Sso三儿,心情坏到极致也没表现出负面情绪不知道这样好还是不好久了会不会得病​,会不会得病,1,自己,健康,健康保险,担忧,  , , ,"
                        2019年11月24日 13:20
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=16,https://weibo.com/2074989337/IhGk5BYJd?refer_flag=1001030103_
廖可可吖,当妈真不容易、从怀到生完已十个来月、天天围着宝贝转、已经对外面的世界隔离了、整个人也都傻了不少但只因是我身上掉下来这块肉、所以这点代价不算什么、我真的好爱、好喜欢我家宝贝。由于经济条件、我不得不离开他岀来赚钱、不知道以后的路会怎样、但我岀发点都是为了能给他一个好点的生活、我真的很想把他带在我身边带、但我现在的条件、连自己生活都是个问题、所以还是先好好想想怎么赚到钱先吧。也不知道这一走会什么时候才能见到他、如果我以后还是一无所有呢、那我拿什么去养他、这会不会是我们母子最后一次见面。,会不会得病,1,孩子,经济,少儿保险,担忧,  ,1,3,"
                        2019年11月23日 10:13
                        ",前置双摄vivo X9,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=17,https://weibo.com/6196990093/IhvFHmyxK?refer_flag=1001030103_
寒天将明也,#刘芮麟#这个话题下面还有挺月抛的，OK个人私生活咱不评价，但也别提尊不尊重的事，这是接不接受的问题不知道这些人在找对象之前会不会很坦然的对对方说，我约过多多个，请你尊重我？也会不会接受对方对Ta说，我约过几次，我们互相尊重？你看，既然都觉得约这个事儿没什么，很正常，那可不要对对方隐瞒哦，咱也不骂咱也黑，你看，人都上升到人性的角度了那就只能祝约的和约的成双成对吧，注意卫生，不要得病，省点以后祸害好孩子哦。收起全文d,会不会得病,0,,,,,  , ,4,"
                        2019年11月22日 16:57
                        ",小米6X 拍人更美,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=17,https://weibo.com/5833557757/IhoTnD9Gf?refer_flag=1001030103_
小泥鳅翻滚四十五度半,每天都不开心，会不会得病​,会不会得病,1,自己,健康,健康保险,担忧,  , , ,"
                        2019年11月22日 10:30
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=17,https://weibo.com/5269474250/IhmmgoYYp?refer_flag=1001030103_
浅浅5782695714,身边有个女孩得病了每天特别的开心面对一切，老天真的眷顾她了。大概是因为这个社会没这些项目了看看帅哥是怎么演绎不同的杉菜，很好奇[微公益爱心]心灵放松才是最主要的嘛。​,会不会得病,0,,,,,  , ,1,"
                        2019年11月22日 01:26
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=17,https://weibo.com/5782695714/IhiNzlKPg?refer_flag=1001030103_
我喜欢你喜欢我-way,每天8:00am-12:00pm这周太难熬啦～～这工作强度我会不会得病​,会不会得病,1,自己,健康,健康保险,工作,  ,2, ,"
                        2019年11月22日 00:21
                        ",(*¯︶¯*)iPhone XS Max,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=17,https://weibo.com/1733130961/IhimPFuWn?refer_flag=1001030103_
佳遇久,无意间听到我同事聊天说，“要是同时跟几个男的在一起”会不会得病，我一下没忍住笑出声了还是很大声的那种。结果都盯着我看，这给我尴尬的2瑞安市​,会不会得病,0,,,,,  ,1,2,"
                        2019年11月21日 18:46
                        ",前后2000万 OPPO R11,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=17,https://weibo.com/5820343076/IhgaQ4FIL?refer_flag=1001030103_
小房子家的咪西扣701,我好像得病了，旧的产后抑郁后遗症➕新的产后抑郁症。现在的我，不想说话，只想发呆，更不爱笑，仇视一切，也无视一切，更觉得什么都无所谓，又觉得什么都有所谓，身体累到一种崩溃的境界，肩背酸痛，手臂无力，但是抱娃那得坚持着呀，真是挑战自己，真想换个身体，但是又没有办法，因为大家都认为那是当妈应该做的，当这个妈真的太难太难了，尤其现代社会，对女性的要求太高了，强烈建议产假应该休一年才对，妈妈们的身体才能稍微恢复一点。最近经常想的一个问题就是，赶紧过完接下来的这一年，熬过我就是英雄了，就能稍微轻松一点，哪怕只是身体上的轻松，也总比现在压在肩膀上的大石头强，真是扛不住了，成妖成佛就看自己的造化了。有时候我特别想大哭一场，把心中所有的不满、委屈、怨恨通通哭走，可是眼睛已经受不了了，两次月子，已经把眼睛哭坏了，真不知道等我老了会不会虾，有时候自己憋屈得狠，我也担心自己会不会得个什么癌症，想到这，真的不敢想下去收起全文d,会不会得病,1,自己,健康,健康保险,抑郁,  ,1, ,"
                        2019年11月21日 01:20
                        ",HUAWEI P20 Pro,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=18,https://weibo.com/1924847070/Ih9kErb0w?refer_flag=1001030103_
一擅长睡觉一,半藏森林惯三会不会得病呀奶盖生意来了转我501请你吃奶盖原味内裤哦么么哒#刘阳道歉#​,会不会得病,0,,,,,  ,1,5,"
                        2019年11月19日 23:27
                        ",,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=18,https://weibo.com/7182988309/IgZ9ZoCFI?refer_flag=1001030103_
搞笑段子坊,第一次找小姐姐，她给我戴tao摸我小弟弟最后还会给我擦jy她手上会不会有传染源？我会得病吗？​,会不会得病,1,自己,健康,健康保险,担忧,  ,3,3,"
                        2019年11月19日 19:10
                        ",微博 weibo.com,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=18,https://weibo.com/5571438292/IgXtNDRqG?refer_flag=1001030103_
霍汐珍-,有时候真担心宝宝在这样的环境里会不会得病,会不会得病,1,孩子,健康,少儿保险,担忧,  , , ,"
                        2019年11月19日 13:29
                        ",华为手机 畅享玩不停,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=18,https://weibo.com/2713477032/IgVfoiH7Y?refer_flag=1001030103_
如盐汽水,前两天称了一下体重突然轻了很多，心里担心了一下会不会是得病了体重急剧下降，今天称一下又特么重回来了，心里轻松了不少呢​,会不会得病,0,,,,,  , , ,"
                        2019年11月19日 12:52
                        ",OPPO智能手机,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=18,https://weibo.com/6342901847/IgV0j6C5Y?refer_flag=1001030103_
我有点害怕别拉扯我,我好不开心啊人一直不开心会不会得病啊我好像死啊活着没有意义​,会不会得病,1,自己,健康,健康保险,担忧,  , , ,"
                        2019年11月18日 22:01
                        ",Android,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=18,https://weibo.com/6399119242/IgPaOiDDW?refer_flag=1001030103_
狗狗狗狗狗佳,我的情绪一直在失控，我每天都会因为莫名其妙的原因搞得想哭，我不想吃东西，我吃进去没有感觉，我不想收拾行李，我就想缩在沙发角落按着不知道看什么内容的手机，我怎么了我会不会得病了​,会不会得病,1,自己,健康,健康保险,抑郁,  , , ,"
                        2019年11月17日 04:46
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=19,https://weibo.com/3314823715/IgyY8eVM9?refer_flag=1001030103_
-南寻-,负能量也需要情绪出口，憋在心里会不会得病，好担心自己。​,会不会得病,1,自己,健康,健康保险,担忧,  , , ,"
                        2019年11月16日 20:28
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=19,https://weibo.com/2723465903/IgvI38fot?refer_flag=1001030103_
今天想喝果汁--,我可能是少有的会在十六七岁这样的年纪去想自己五六十岁会是什么样的人会不会得病，会不会意外死亡，会不会一觉睡下去再也起不来，会不会没有人待见我，会不会众叛亲离，会不会喜欢的东西得不到，会不会努力的一切终成空。会不会在五十多岁的时候怀念现在，会不会记得我丢了什么东西。我总感觉十六年过的很快，六十年也一样就好像明天就要躺在病床上等着讲遗言。再或者活不到那么长时间收起全文d,会不会得病,1,自己,健康,健康保险,担忧,  , ,1,"
                        2019年11月16日 01:37
                        ",小米MIX概念手机,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=19,https://weibo.com/7266673133/IgoiMjewb?refer_flag=1001030103_
孙银玲123,没有宣泄的出口，会不会得病​,会不会得病,1,自己,健康,健康保险,担忧,  , ,11,"
                        2019年11月15日 22:49
                        ",HUAWEI P30,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=19,https://weibo.com/2938212002/IgncyB3ct?refer_flag=1001030103_
hahahanull,我男朋友敢给我搞这种东西真的直接贴他脸上这不是体贴这就是男方在自我感动只是想感动自己根本没有想过女孩子用了会不会得病不舒服啥的,会不会得病,0,,,,,  , , ,2019年11月14日 16:37,OPPO智能手机,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=19,https://weibo.com//Igbl7y7Wt?refer_flag=1001030103_
自保叔,经常有保险小白问我，叔，买保险前要不要体检啊，不体检以后得病保险公司会不会说我没有如实告知啊？叔提醒，买保险前别体检！#体检##健康##新浪保险i保日##保险#L自保叔的微博视频​,会不会得病,0,,,,,1,5,2,"
                        2019年11月15日 20:01
                        ",iPhone 7,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=19,https://weibo.com/1670049175/Igm6n14LU?refer_flag=1001030103_
