博文,发文时间,关键词,是否担忧（1=担忧，0=不担忧）,标签1（担忧对象）,标签2（担忧什么）,标签3（什么保险）,标签4
成人重疾应该怎么选？   🌟买保险就是买保额、保障，只有适合自己的保险才是最好的。先了解一下成人购买保险的优先顺序是：重疾、医疗、意外、寿险，其次为年金类：教育金、养老金💎💎💎重疾险：1⃣️、重疾险越早买越好，因为过了50岁以后，就很难买到，而且也不划算2⃣️、关于保额：经济条件允许下，保额越高越好（一般买50万就够了）3⃣️、关于保障：最好是包含轻症、中症、重症，如果经济条件允许，优选癌症二次赔付，因为现在癌症已经不再是不治之症，所以多次患癌的可能性也增加了4⃣️、关于类型：优先购买消费型重疾险，no返还型首先返还型比消费型保费高，所以消费型特别适合保费预算有限的家庭；其次咱们买重疾险的初衷和目的就是保障重大疾病，返还、分红不是我们最主要的目的，如果要返还、分红，完全可以单独买其它理财型保险产品，效果更好，而且随着通货膨胀，等到30年以后这些保费也不值钱了5⃣️、关于保障期限：经济预算有限情况下，优先选择保终身，不建议购买含身故的；因为重疾险里面的重疾和身故只能赔一次，如果先患重疾，赔过之后，身故保障就没有了，所以建议是重疾险+定期寿险分开购买，这样两个保障都有了6⃣️、关于缴费年限：缴款年限越长越好，有30年的绝对不选20年；因为以后货币肯定贬值，即使有钱一次性付完，也不要缴完保费，要按最长期限缴纳7⃣️、关于保人豁免：如果买的重疾险里有投保人豁免、被保人豁免，建议与家人一起，互相给对方买，这样两个人中只要有一个人出现情况，两个人后期的保费就都不用交了8⃣️、关于购买购买保险不分大小公司，只看产品是不是适合自己；购买时要查看重疾、轻症、重症包含哪些；合同里的免责条款要看清楚（要了解不保障什么）👆👆👆也就知道这么多了😅，还是根据自己的预算了解的，希望能帮到大家❤❤❤ 2郑州·郑州古玩城 收起全文d,02月02日 16:47,我是不是应该买保险,0,,,,
建议你们是不是应该给买保险的人群提供点口罩啊 这才能叫保险呀,01月29日 21:49,我是不是应该买保险,0,,,,
过去一年我赚了多少钱，主要收入来自哪里？我的收入结构有没有问题？有没有提升的可能？如果要提升，我改从哪里下手？我的财富分配是否合理？是不是应该花点钱为家人买保险？我有哪些资源可以变现？哪里有我想要的资源？我是蹭？还是偷？还是借？执行过程我踩了那些坑？那些是可以避免的？我自己有哪些优劣势？是哪些短板缺点阻碍了我执行？我身边的人怎么样？那些会是我的贵人？那些会是不断消耗我需要远离的人？我现在生活的主要矛盾是什么？我应该如何聚焦把首要矛盾解决掉？我今年的工作计划如何？…… 收起全文d,02月01日 13:32,我是不是应该买保险,0,,,,
我们能享有的公共医疗和公共教育是有限的，如果不能坚持共产和提升生产力把成果服务公众，作为p民真的是看不起病的，上不起学的。大病直接等死，小病直接耐熬。我在北京和珠海都看过病，排队好长 早上稍微来晚一点，来看等排到看完直接吃中午饭了，在医院走到哪里到处是人。医院太少了，突发的病毒提醒着医疗资源的相形见绌。并且普通人未必有大病的成本，是不是只剩下花钱买保险保平安的路径了?每个医生一天看那多人，如果不是一个外向的人很难坚持这么长时间与病人互动，真的很耗人。杀医不知道劝退多少人，人身安全都得不到保障。医生太辛苦了，应该获得自己该得的地位和报酬。我以前小时候经常在医院过年，年年病，那会我很想学医的，=_=，学西医问题是我见血下不了手会紧张，被抽个血都会嚎半天。学中医我特么那个穴位那么多好像108?然后我都认不出在哪我咋下针我不会我就放弃了。=_=。就是各种找原因我最终没有学医。国外医生身份地位和钱多，但是好像医疗也还是很紧张?培养一个医生出来太难了。我有时候生病就挺后悔没学医的。当时觉得很难脑子迷胆子小吃不了苦没学。=_=。我觉得我作为一个30岁的中年妇女有时候有点学不动，在原生家庭先天发育不足，后天也找不到能够托付的努力，已经错过了更好的成长期。前几天因为病毒蔓延的事情还哭了一场，海王重的是深刻懂病毒的带来的后续一系列蝴蝶飓风。我们每个人都是世间寻觅幸福的一粒沙。2020这一年的愿望可能就是不管怎么样，大家都平平安安最好了。 收起全文d,01月28日 15:25,我是不是应该买保险,0,,,,
"期权保险策略之巧用认沽期权穿越牛熊市

保险策略是个人投资者使用非常广泛的策略，在实际应用中，投资者可能会遇到一些问题。

1. 保险策略对什么样的投资者具有吸引力？

这一策略可能对两类投资者而言更为需要。第一类投资者是不想卖出股票的长期持有者，他们可以运用认沽期权的保护来限制短期内可能下跌而导致的亏损。第二类投资者是在买入股票时举棋不定、生怕自己错买的投资者，他们往往希望有某种“保险”，以防看错个股的走向。

2.简单地直接买入股票与保险策略孰优孰劣？

这个问题没有肯定的答案，这就好比我们是否要为自己的财产买一份保险一样，更多地取决于投资者自身的风险偏好程度和对市场判断的自信程度。如果投资者对自己买入的股票十分有信心，风险偏好程度较高，那么他完全可以不买认沽期权作保护；而对于风险承受能力较差的投资者，他们在买入股票或持有股票的同时，往往担心后市的下跌风险，此时采用保险策略将是一个不错的选择。

3.保险策略具有止损的功能，那么与“止损订单”有何区别呢？

止损订单是被动的止损方式，是价格依赖的。它的优点在于没有止损成本，但缺点在于：若股价跳空止损价位后一直下跌，则投资者将无法及时止损，或者若股价触及止损价位后开始回升，则投资者将不得不以止损价位割抛手中的股票，反而失去回升反弹的收益。

保险策略是一种主动的止损方式，是时间依赖的。它的优点在于投资者通过预先支付权利金，锁定股票在到期日的卖出价位，从而在到期日前可“高枕无忧”；但缺点在于其止损功能具有时间限制，随着合约到期而失效，同时它是一种有成本的止损方式。

4.从损益图看，保险策略和买入认购期权类似，这两个策略是不是一回事呢？

答案是否定的。损益图的相似只是告诉我们这两个策略的潜在盈亏是相似的。但从头寸的角度来说，这两个策略具有本质的不同。

认购期权的建仓成本只有权利金，而保险策略的建仓成本等于股票的购买价格加上认沽期权的权利金，相比之下，后者高出很多。

保险策略的建仓者实际持有股票，因此享有股票分红派息收益权，而认购期权的建仓者在到期前未持有股票，所以认购期权的持有者无法得到股票分红收益。

期权策略篇之“保险策略（三）” 基础知识 第1张

5.市场上有这么多认沽期权合约，应该选择哪一个合约对股票作保护呢？

（1）到期日的选择

首先，这就像买保险的保险期，取决于投资者想要保护手中股票的时间段。

其次，通常而言，长期保险的保费一定会比短期保险的保费贵，因此远月的一般比近月的贵。

在实际操作过程中，比较常见的做法是：先买入近月的认沽期权，待合约到期时，再行判断是否要买入下一个月的认沽期权。这一操作的优点在于降低了保险的成本，灵活地根据标的股票的价格走势而作判断。

（2）行权价的选择

首先，深度虚值的认沽期权虽然成本很低，但它所提供的下跌保护范围很小。它更像是一份“灾难保险”，当股价仅为小幅下跌时，它提供不了保护。

其次，深度实值的认沽期权虽然保护的范围很大，但它的权利金太高，严重限制了投资者的潜在盈利。这是一种过度保守的策略，其较高的权利金支出很大程度上抵消了股价的上涨收益。

因此，在实际操作中，投资者通常可以买入轻度虚值、平值或轻度实值的认沽期权。这样，投资者可以在保护股票下跌风险和保留股票上涨收益之间达到一种平衡。

小结

保险策略是一种风险有限、潜在收益无限的保守型套保策略，适合于希望持有股票，但风险承受能力较弱的投资者。一方面防范了后市的下跌风险，另一方面又保留了股价的上涨收益。投资者在实际投资过程中，可根据自身对股价的判断和风险偏好，选择是否买入认沽期权作保护性对冲，以及如何合适地选择期权合约的行权价和到期日，逐步学会巧用认沽期权穿越牛熊市。 收起全文d",01月28日 02:35,我是不是应该买保险,0,,,,
最近有朋友问保藏君，买保险是不是选大公司的就对了？还有朋友说我就想买大公司的，买着安心。如果把买保险当买车，只看品牌不看内含。你很可能会像中保研测试排名垫底的某车型车主一样，花钱买罪受。那到底应该怎么选择呢？看看本文吧 保险保险知识 O买大还是买小这是一个问题 ​,01月21日 07:30,我是不是应该买保险,0,,,,
#营口爆料#【经文浅释】【若有持是观世音菩萨名者，设入大火，火不能烧，由是菩萨威神力故。】这一段经文，是说的观世音菩萨救七难之中的“火难”和“水难”。“若有持是观世音菩萨名者”：这个“者”字，就是念观音菩萨这个人。若有，是现在还没有，将来是会有的。所以说，假设有这样的一个人。什么样的人呢？持是观世音菩萨名。持，是受持，就是不忘的意思，也就是心心念念，都执持观音菩萨的名号；那么样地受持来称名，就念“南无观世音菩萨……”。所以无论哪一个人，想要解除这种七难的痛苦，先要常常恭敬称念观世音菩萨的名号。称念观世音菩萨名号这样的人，“设入大火，火不能烧”：这是说你平时就念南无观世音菩萨，而不是说等到被困在大火里，才念观世音菩萨；不是现烧香、现念佛，不是说我今天有了灾难，今天才念观音菩萨。所谓“闲时不烧香，着急抱佛脚”，闲着的时候，连佛前也都不上一炷香的；着了急了，才来抱着佛腿，求佛来救你的难。虽然你抱着佛腿，但是佛也不理你。为什么？因为你就是在平时根本就不修行，等到有难的时候才来求佛，这叫现烧香、现念佛。可是又有一种人，他平时也没有烧香，也没有念佛；但是他有急难的时候，观音菩萨也一样救他，也一样来令他离苦得乐，这又是什么道理呢？你要知道，我们每一个人有前因、后果。在前世，或者他曾勇猛精进，拼命地用功，豁出命来念观世音菩萨，甚至于来做种种的功德。因为他前生念过，有这种的善根，所以今生他虽然不念，观音菩萨也来救他，这是有远因的关系。所以观世音菩萨救人，有远因，也有近因。远因，就是在前生他所种下的因；近因，就是在今生所种下的因。或者有人说：“我前生或者已种下因了，所以现在我不必念观音菩萨。将来我有难时，观音菩萨也会救我。”可是这个我不保险的，你就是向我买保险，我也不卖的。如果你今生就能诚心诚意念观音菩萨，那我可以卖这个 insurance（保险），你一定会得到感应的，将来你有什么灾难，观音菩萨一定会来救你的。为什么你自己说你在前生念过？你也没有宿命通，你怎么知道你一定念过呢？你若真有宿命通可以的，若得了天眼通、天耳通也可以的。所以你若不是现烧香现念佛，这样绝对有感应的！所以说，你要是平时念观音菩萨，假使你遇着大火的话，火不能烧。在中国，从前有一个人，他预备去南海普陀山朝拜观音菩萨。你说怎么样啊？就有这么巧的事情，他刚上了船，正要往南海普陀山朝拜观音的时候，他邻居的房子眼瞅着就着火了；他的家人就跑来向他报告：“不好了！你快回去！不要去朝普陀山啦！我们的邻居着火了，你要回来照顾啊！”这个人说：“我为了想要去朝普陀山、拜观音菩萨，已经吃三年斋，现在我已经上了船。家里着火，我要是下船，它应该烧也一样烧了；如果不应该烧，观音菩萨会保护着我，我就是不下去，它也一样不烧的。我有这种诚心，我恁可自己家里被火烧了，我也要去拜观音菩萨！”就这样他家里着火也不管了，什么都不管了，就去拜观音菩萨。他到南海普陀山朝拜观音菩萨回来之后，一看左右邻居，前后所有的房子都被火烧了，唯独自己这间楼房却没有烧。由此之故，一般人就问他：“怎么挨着你这房子的都烧了，你这个房子不着呢？”他说：“我就因为这次以最诚心去拜观音菩萨，烧就烧，我也不管它，什么都放下了！这是观音菩萨的保护、观音菩萨的力量，所以令我这个房子都没有着火！”“由是菩萨威神力故”：因为什么火不能烧呢？这因为观世音菩萨有大威神力的缘故，所以火不能烧。Ｉ2. 水难【若为大水所漂，称其名号，即得浅处。】“若为大水所漂”：如果你平时常持念观世音菩萨名号，若在无意之中，不是有心要试验观世音菩萨灵不灵，就去跳海。如果你要试验观世音菩萨灵不灵的话，那绝对不灵的！你跳海？毫无疑问你是要死的！为什么？因为你存一种试验观世音菩萨的心。观世音菩萨并不是学生，你也不是老师，为什么你要试验观世音菩萨？因为你不相信观世音菩萨有这么大的神通，你信不真，所以才要试验。好像我以前讲的，你对你的朋友没有真信心，所以你要试验他究竟是不是一个真朋友、是不是一个好人；或者你把几颗钻石，甚至于五克拉的钻石，放到那个地方，看看他偷不偷？为什么你要试验他？因为你对你这个朋友没有真认识，所以你要试验他。你对观音菩萨呢？也是！为什么你要试验观世音菩萨？也就因为你没有真信心，你才要试验；可是你这一试验不要紧，可是把自己的生命就牺牲了。不要拿着自己的生命来开玩笑！不要拿着自己的生命作赌注！“称其名号，即得浅处”：你常念观世音菩萨的名号，在不知不觉中，不知怎么样，就到一个浅处了。在大海里，也不知道怎么样就跑到海岸上去了。所以，这都是观世音菩萨的力量，而有这样子的感应。O网页链接 收起全文d,01月18日 22:02,我是不是应该买保险,0,,,,
【经文浅释】【若有持是观世音菩萨名者，设入大火，火不能烧，由是菩萨威神力故。】这一段经文，是说的观世音菩萨救七难之中的“火难”和“水难”。“若有持是观世音菩萨名者”：这个“者”字，就是念观音菩萨这个人。若有，是现在还没有，将来是会有的。所以说，假设有这样的一个人。什么样的人呢？持是观世音菩萨名。持，是受持，就是不忘的意思，也就是心心念念，都执持观音菩萨的名号；那么样地受持来称名，就念“南无观世音菩萨……”。所以无论哪一个人，想要解除这种七难的痛苦，先要常常恭敬称念观世音菩萨的名号。称念观世音菩萨名号这样的人，“设入大火，火不能烧”：这是说你平时就念南无观世音菩萨，而不是说等到被困在大火里，才念观世音菩萨；不是现烧香、现念佛，不是说我今天有了灾难，今天才念观音菩萨。所谓“闲时不烧香，着急抱佛脚”，闲着的时候，连佛前也都不上一炷香的；着了急了，才来抱着佛腿，求佛来救你的难。虽然你抱着佛腿，但是佛也不理你。为什么？因为你就是在平时根本就不修行，等到有难的时候才来求佛，这叫现烧香、现念佛。可是又有一种人，他平时也没有烧香，也没有念佛；但是他有急难的时候，观音菩萨也一样救他，也一样来令他离苦得乐，这又是什么道理呢？你要知道，我们每一个人有前因、后果。在前世，或者他曾勇猛精进，拼命地用功，豁出命来念观世音菩萨，甚至于来做种种的功德。因为他前生念过，有这种的善根，所以今生他虽然不念，观音菩萨也来救他，这是有远因的关系。所以观世音菩萨救人，有远因，也有近因。远因，就是在前生他所种下的因；近因，就是在今生所种下的因。或者有人说：“我前生或者已种下因了，所以现在我不必念观音菩萨。将来我有难时，观音菩萨也会救我。”可是这个我不保险的，你就是向我买保险，我也不卖的。如果你今生就能诚心诚意念观音菩萨，那我可以卖这个 insurance（保险），你一定会得到感应的，将来你有什么灾难，观音菩萨一定会来救你的。为什么你自己说你在前生念过？你也没有宿命通，你怎么知道你一定念过呢？你若真有宿命通可以的，若得了天眼通、天耳通也可以的。所以你若不是现烧香现念佛，这样绝对有感应的！所以说，你要是平时念观音菩萨，假使你遇着大火的话，火不能烧。在中国，从前有一个人，他预备去南海普陀山朝拜观音菩萨。你说怎么样啊？就有这么巧的事情，他刚上了船，正要往南海普陀山朝拜观音的时候，他邻居的房子眼瞅着就着火了；他的家人就跑来向他报告：“不好了！你快回去！不要去朝普陀山啦！我们的邻居着火了，你要回来照顾啊！”这个人说：“我为了想要去朝普陀山、拜观音菩萨，已经吃三年斋，现在我已经上了船。家里着火，我要是下船，它应该烧也一样烧了；如果不应该烧，观音菩萨会保护着我，我就是不下去，它也一样不烧的。我有这种诚心，我恁可自己家里被火烧了，我也要去拜观音菩萨！”就这样他家里着火也不管了，什么都不管了，就去拜观音菩萨。他到南海普陀山朝拜观音菩萨回来之后，一看左右邻居，前后所有的房子都被火烧了，唯独自己这间楼房却没有烧。由此之故，一般人就问他：“怎么挨着你这房子的都烧了，你这个房子不着呢？”他说：“我就因为这次以最诚心去拜观音菩萨，烧就烧，我也不管它，什么都放下了！这是观音菩萨的保护、观音菩萨的力量，所以令我这个房子都没有着火！”“由是菩萨威神力故”：因为什么火不能烧呢？这因为观世音菩萨有大威神力的缘故，所以火不能烧。Ｉ2. 水难【若为大水所漂，称其名号，即得浅处。】“若为大水所漂”：如果你平时常持念观世音菩萨名号，若在无意之中，不是有心要试验观世音菩萨灵不灵，就去跳海。如果你要试验观世音菩萨灵不灵的话，那绝对不灵的！你跳海？毫无疑问你是要死的！为什么？因为你存一种试验观世音菩萨的心。观世音菩萨并不是学生，你也不是老师，为什么你要试验观世音菩萨？因为你不相信观世音菩萨有这么大的神通，你信不真，所以才要试验。好像我以前讲的，你对你的朋友没有真信心，所以你要试验他究竟是不是一个真朋友、是不是一个好人；或者你把几颗钻石，甚至于五克拉的钻石，放到那个地方，看看他偷不偷？为什么你要试验他？因为你对你这个朋友没有真认识，所以你要试验他。你对观音菩萨呢？也是！为什么你要试验观世音菩萨？也就因为你没有真信心，你才要试验；可是你这一试验不要紧，可是把自己的生命就牺牲了。不要拿着自己的生命来开玩笑！不要拿着自己的生命作赌注！“称其名号，即得浅处”：你常念观世音菩萨的名号，在不知不觉中，不知怎么样，就到一个浅处了。在大海里，也不知道怎么样就跑到海岸上去了。所以，这都是观世音菩萨的力量，而有这样子的感应。O网页链接 收起全文d,01月18日 21:19,我是不是应该买保险,0,,,,
#问简七# 聊聊保险这件事儿。熟悉的小伙伴应该知道，我们在各大音频app上有个栏目叫《简七理财故事》。前两天，录制音频的主播小姐姐突然问我：【简七，买保险是不是功能越多越好？】有朋友给我推荐了一款产品，看起来很不错，兼具保障和理财两种功能。他吐槽我买的一款意外险，“你这个保单，虽然便宜，但是不像其他保险产品那样，如果你这一生都不出险，你的保额就能留给下一代，所以，不划算。”被他搞得有点迷糊，想问问你的看法。先说结论吧，买保险是买保障，通过少量可承受的保费转移风险。保险产品，你要看他的核心功能点是什么。保险公司是要盈利的呀，一款保险中功能越多，一个是价格贵，另外一个就是保的不全。举个夸张的例子，就像是你去逛商场，本来想花3000块买个空调，结果售货员一通说，最后你花3000买了个带小夜灯功能的电风扇，美其名曰：“你看看，花同样的钱，你的空调不能一年四季都开吧；我买的智能电风扇，虽然制冷差了点，但附带了个照明小夜灯，可划算多了。”那么亲爱的，你喜欢小夜灯为啥不单独买呢？普通人买保险不要搞花里胡哨的，重疾、意外、医疗、寿险，都买消费型的。你琢磨着最好还有点理财功能，那可以通过其他方式（比如基金定投、股票等）实现，选择多样，收益率可能更高。还是那句话，先消费，后理财。下次再有人给你推荐“万能险”，一定擦亮眼睛搞清楚了。 收起全文d,01月17日 14:02,我是不是应该买保险,0,,,,
以杀熟为生的行业：保险业 这点大家应该都深有体会，尤其是亲戚朋友中有做保险行业的人最有感触。 自从买车后，往往离车险到期还有几个月的时候，也是我最头疼的时候：发小的老婆、同事的爱人、主管的生意客户等等只要是知道你有车的人，只要是能和你拉上说几句话的人都会提前和你打招呼：车险到期了一定要到我这买保险啊，不赚你佣金，只为了完成任务冲量。 挣不挣你佣金先不说，车险在谁那办处理不好是要得罪一大批人的问题。 你说已经被人抢先打过招呼了不好说话不算数，别人表面上说：那可惜了，明年我早点和你打招呼。背地里会想：是不是你没把我当朋友，还是我们之间的关系不够铁？ 肉就这一块，只够一个吃，你说怎么办？#如何看待杀熟现象# 收起全文d,01月16日 23:04,我是不是应该买保险,0,,,,
现在社会对卖保险人的评价是不高，主要是国民的保险意识还不强，再者保险从业人员的整体素质也不高，误导消费者的情况还是很多的。还有人认为卖保险的都是骗子，我的同事就是保险代理人，她有自己的一套营销策略，几年前，我跟她在一起偶尔会谈及保险，感觉有点烦，关键是认为买了保险会不会理赔，现在认识到了买保险是有用的。对他们的看法也有了改变。不论如何，这是一个正当的行业，他们也是靠自己的劳动获得报酬，我们不应过份的贬低他们。再说，那些发生事故后获得保险公司赔偿的人们，是不是应该感谢保险销售人员呢？如果没有他们努力的向你推荐保险，或许你不可能拥有这份保障。 O对于身边的保险代理人大家都是怎么看待的? 收起全文d,01月15日 18:05,我是不是应该买保险,0,,,,
#广东成中国首个GDP过10万亿元省份#房地产占整个GDP总量30%，所以房地产市场不稳，直接影响的就是GDP的不稳定。当然大家说现在是不是房地产政策要放宽了，也不完全是这样。房地产政策适度的弹性调整空间是存在的，跟外汇市场有相似之处。国家在一些城市限价和限购的问题上，我觉得还是做了一定的放松，比如说深圳、广州、允许持有港居民身份证和入境证的人到广州来买房子。其实在宣布深圳成为社会主义经济示范区那天我曾说过，建议在港的去深圳买房。不过半年的时间，国家就给了这样的政策。当时记得那天我是在深圳给大家谈深圳建设社会主义示范区的话题。那天我跟深圳的总经理说，越是在这个时候我们越要赶紧抄底。事实证明，未来在华南地区，如果部分港居民来添置房产的话，华南地区的房价将会稳中有升。当然国家不会一下子就让房价和地价被炒起来，但至少稳经济还是要稳住。在此之前，像南京、沈阳等一些二线城市的房价都已经开始飙升起来，一线城市的价格还是受限的，刚性需求也是有的，但国家不一定让它涨那么快。我曾说过这种严监管时代，去掉了严，只剩下监管了，这就给市场一次喘息的机会。稳住房地产经济，才能稳住中国的GDP。到今年初我的想法还是想稳增长还是应该稳住地产经济。中国房地产我早就大胆预言，绝对不是城市的房地产商的这种暴力经济，而是在配合农村土地流转的过程中，建立新型的房地产业态。而新型的房地产业态是什么呢？我个人认为是养老地产，那么养老地产应该以什么样的方式来建立它的生态？去年上半年我去美国，下半年去欧洲，考察这两个发达的资本主义世界的政治经济情况，包括社区生活情况。回来之后我就反复琢磨中国的未来，我们在经济转型中，其实不能完全照搬美国，更不能完全照搬欧洲，因为他们都是资本主义状态下的经济体制，而中国是具有特色社会主义体制。 我们必须要建立一个资源共享，而且能循环再生的商业模式。所以我估计中国未来房地产的新业态，可能中央会提出新型的政策，至于这种新型政策是什么还在探讨中，但大家为什么要把钱都用来买房子，为什么不把钱用来买保险？如果你买了很多保险，那么你可以让保险公司为你支付未来。你在全球各地所要享受到的住房、租赁。也就是说我只要有保险，夏天我愿意上北方去住，你让保险公司给你租北方的房子，冬天我想去海南，让保险公司给你租海南的房子，你说我女儿在欧洲读书，你可以要求保险公司给你租欧洲的房子，你说我孙子在美国生孩子，你就让保险公司在美国给你租房子。你想想如果把你的钱用来买保险，然后让保险公司帮你挑选住宅，你买的越多，便可以挑更好的住宅，好不好呢？以此类推，你说我想享受一流的健康管理方案。我想享受一流的医疗整治方案，这些都可以由你的保险来帮你完成。实际上，以后大家不需要把自己的钱放在房子里，你还得收租金，还得打理房子，还住不了这个房子，这是多么痛苦的事情，然后儿女分房子时还要打仗，为了家产还要拼命。弄的老人们到老年生活时，食不安寝，家庭不和，就为了争房产，我觉得这完全是一种非常可怕的社会现象。所以当我明白这个事实的时候，我跟我周围的朋友讲，有钱没钱的我都要跟他们说，未来中国可能会是保险业最为发达，他们说为什么呢？我说如果大家把挣来的钱多买点保险，当然需要保险公司做一些非常好的精算和设计，然后给居民保健康，保养老环境，保旅游环境，甚至可以保障他们的食品安全。可以做很多事情，这些都应该是保险公司来帮着做。所以实际上保险公司未来的商业业态太丰富了，太发达了。我们此生用年轻的时候换来的血汗钱，保证我们的老年生活，充分享受我们的付出所带来的晚年生活的快乐。这不好吗？我们为什么要把自己的钱都用来买房子呢？所以我觉得将来在土地流转之后，新城镇化建设应该在农村广袤的土地上建立生态养老社区，而生态养老社区根本不需要大家用钱去买，我们把钱又来买保险，保险公司会为你安排生态养老的环境。这样一来大家就不会再去炒房子了，不炒房子，房价自然也就没那么高。所以我想社会资源的共享，如果老年人去世了也没有关系，也不要搞的鸡飞狗跳的，大家分割财产。去世了就把保险留给你的保险继承人，他还可以拿保险，再享受未来你留给他的资源共享计划，这是多么好的一个想法。我只想说，对于中国的未来，大家真的不必要过于担心，我们在新经济转换的过程中，实际上社会主义制度恰恰使我们可以在这场金融资本的对抗中形成资本合力，最后形成一次资本突破。这次资本突破为中国新经济的转型带来巨大的机会。所以现在对于大家来讲，我真的不劝大家去炒房，但如果你有刚性需求，你家里就一套房两套房，儿女结婚你现在就买，房价肯定是要涨的。但是不会疯狂的涨，所以就是稳增长。 收起全文d,01月15日 09:37,我是不是应该买保险,0,,,,
一说车都知道找保险了，有保险可以赔。但是请想一想，为什么保险可以赔？一个最重要的前提是出事之前买了保险！评论都说多少钱多少钱，车有价，人难道真的没有价？人坏了多少钱？人是不是也应该买保险？你品，想好了评论我，或者私信，咱们的故事可能就开始了！ ​,01月15日 07:13,我是不是应该买保险,0,,,,
屌癌觉得，我出了彩礼，就理所当然的拥有子宫使用权和孩子冠姓权。这等于我说我出十万块，你卖身给我为奴隶一样可笑。先不说那些彩礼是不是屌癌吸血自己父母姐妹得来的，即使是自己挣的，那点钱连买个冠姓权都不一定够，还指望买一个活人的一辈子。十万块，等于有了几十年的免费代孕免费保姆免费育儿嫂免费管家免费会计，已经是占天大便宜的事情，屌癌还想免费。如果我是汉奸，那我支持屌癌这种想法，就应该取消彩礼，大家都裸婚，然后孩子都跟男的姓，女的无法传姓被轻视被吸血，女的是赔钱货，这样继续加剧重男轻女，中国女的越来越少，犯罪率高还不能生育的男的越来越多，社会治安越来越差。。。。。。可惜我不是汉奸，我还是希望中国能好，彩礼这种买卖人口的名称早就应该取消，应该改名为冠姓权购买费，女人如果不结婚孩子天然跟妈姓，结了婚等于被抢夺了孩子冠姓权，企业赞助个节目还要出几百万几千万冠名费呢，新人结婚都还要给改口费呢，男人抢女人冠姓权凭什么免费？何况生孩子女人1/3000的死亡几率，100%的身体损害，还有各种被家暴被负债被买保险的风险，成本巨大。 收起全文d,01月14日 11:12,我是不是应该买保险,0,,,,
